epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,1.0,0.7574661872468837,0.7574661872468837,N/A,0.7172550875532419,0.7172550875532419,N/A,0.20533398538827896,0.20533398538827896,0.0
2,1.0,0.7971592180201935,0.7971592180201935,N/A,0.7573876005679129,0.7573876005679129,N/A,0.1812203141550223,0.1812203141550223,0.0
3,1.0,0.809688401772952,0.809688401772952,N/A,0.7650544249881684,0.7650544249881684,N/A,0.1735266267011563,0.1735266267011563,0.0
4,1.0,0.8138994222252595,0.8138994222252595,N/A,0.7675343114055845,0.7675343114055845,N/A,0.17081541754305363,0.17081541754305363,0.0
5,1.0,0.8164859985078743,0.8164859985078743,N/A,0.7688026502602934,0.7688026502602934,N/A,0.169415432959795,0.169415432959795,0.0
6,1.0,0.8183494381811821,0.8183494381811821,N/A,0.7706956933270231,0.7706956933270231,N/A,0.16909324750304222,0.16909324750304222,0.0
7,1.0,0.8197690313119608,0.8197690313119608,N/A,0.771831519167061,0.771831519167061,N/A,0.16835938269893327,0.16835938269893327,0.0
8,1.0,0.8209475720816108,0.8209475720816108,N/A,0.7716043539990535,0.7716043539990535,N/A,0.1683207986255487,0.1683207986255487,0.0
9,1.0,0.8215584595506781,0.8215584595506781,N/A,0.7721911973497397,0.7721911973497397,N/A,0.1679727683464686,0.1679727683464686,0.0
10,1.0,0.8217914293752364,0.8217914293752364,N/A,0.7718125887363938,0.7718125887363938,N/A,0.16834577980140844,0.16834577980140844,0.0
11,1.0,0.8222068200972756,0.8222068200972756,N/A,0.773289162328443,0.773289162328443,N/A,0.1672673150897026,0.1672673150897026,0.0
12,1.0,0.8220631133215222,0.8220631133215222,N/A,0.7734027449124468,0.7734027449124468,N/A,0.16704741306602955,0.16704741306602955,0.0
13,1.0,0.8215726898233167,0.8215726898233167,N/A,0.7732513014671084,0.7732513014671084,N/A,0.16715666837990284,0.16715666837990284,0.0
14,1.0,0.8205521987094955,0.8205521987094955,N/A,0.7725887363937529,0.7725887363937529,N/A,0.16753231609861055,0.16753231609861055,0.0
15,1.0,0.8205965849386776,0.8205965849386776,N/A,0.7731377188831046,0.7731377188831046,N/A,0.16739285178482533,0.16739285178482533,0.0
