epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,1.0,0.6895318514711649,0.6895318514711649,N/A,0.7433357015640055,0.7433357015640055,N/A,0.0899764611100664,0.0899764611100664,0.0
2,1.0,0.7073664187881674,0.7073664187881674,N/A,0.7472578808552881,0.7472578808552881,N/A,0.08813000470399857,0.08813000470399857,0.0
3,1.0,0.7149606915902595,0.7149606915902595,N/A,0.7501776173004117,0.7501776173004117,N/A,0.08734341862858558,0.08734341862858558,0.0
4,1.0,0.7194683276457637,0.7194683276457637,N/A,0.7515012311555344,0.7515012311555344,N/A,0.0869056121731291,0.0869056121731291,0.0
5,1.0,0.7217522815388859,0.7217522815388859,N/A,0.7529027046491936,0.7529027046491936,N/A,0.08669500539497453,0.08669500539497453,0.0
6,1.0,0.7228702928955623,0.7228702928955623,N/A,0.7529708318329132,0.7529708318329132,N/A,0.08653539145479397,0.08653539145479397,0.0
7,1.0,0.7232703597009895,0.7232703597009895,N/A,0.7530000291973644,0.7530000291973644,N/A,0.0864708768774052,0.0864708768774052,0.0
8,1.0,0.7235331464667071,0.7235331464667071,N/A,0.7533212002063281,0.7533212002063281,N/A,0.08649820165366542,0.08649820165366542,0.0
9,1.0,0.7233542682062634,0.7233542682062634,N/A,0.7532238756581573,0.7532238756581573,N/A,0.08651406302744029,0.08651406302744029,0.0
10,1.0,0.7232727882548202,0.7232727882548202,N/A,0.7529124371040108,0.7529124371040108,N/A,0.08650458604097366,0.08650458604097366,0.0
11,1.0,0.7225436349177983,0.7225436349177983,N/A,0.7529708318329132,0.7529708318329132,N/A,0.08665507621302897,0.08665507621302897,0.0
12,1.0,0.7214751892118063,0.7214751892118063,N/A,0.752075445989742,0.752075445989742,N/A,0.0868699279974918,0.0868699279974918,0.0
