skill_id,concordance,mae,envelope_mean,envelope_std,envelope_median,n_predictions
91,0.944649504950495,0.05535049504950495,0.05535049504950495,0.07425961166578017,0.03210000000000002,101
35,0.9394261044176707,0.06057389558232931,0.06057389558232931,0.061996495098685316,0.04489999999999994,249
90,0.9340784161490683,0.06592158385093168,0.06592158385093168,0.08005438441102661,0.031000000000000028,644
69,0.9278975382568198,0.0721024617431803,0.0721024617431803,0.07551109503441623,0.06640000000000001,1503
58,0.9271768016833246,0.07282319831667543,0.07282319831667543,0.08777670176123717,0.0504,1901
4,0.9078042217813052,0.09219577821869487,0.09219577821869487,0.13587145269645245,0.03759999999999997,9072
32,0.8909067567567568,0.10909324324324327,0.10909324324324327,0.10409458895747656,0.07710000000000006,3774
27,0.8906020276497696,0.10939797235023041,0.10939797235023041,0.12657534662116715,0.05020000000000002,1085
80,0.883158203125,0.116841796875,0.116841796875,0.11951335314308471,0.06710000000000005,256
18,0.8737363636363636,0.12626363636363638,0.12626363636363638,0.12591353757210733,0.08579999999999999,5555
86,0.8722707792207792,0.12772922077922078,0.12772922077922078,0.1307977487007666,0.09639999999999993,308
11,0.8706577955665025,0.12934220443349753,0.12934220443349753,0.15901310931760693,0.07260000000000003,16240
120,0.8700519750519751,0.12994802494802496,0.12994802494802496,0.11554928239830746,0.06890000000000007,1924
55,0.8670876009822414,0.13291239901775867,0.13291239901775867,0.11249812092928256,0.1099,28099
25,0.8660564004688769,0.13394359953112317,0.13394359953112317,0.1662949705775567,0.06940000000000002,33271
7,0.8636615384615385,0.13633846153846155,0.13633846153846155,0.19309062392467183,0.0504,169
6,0.8546910928143713,0.14530890718562875,0.14530890718562875,0.12231462165115946,0.11380000000000001,1336
29,0.8530840579710145,0.1469159420289855,0.1469159420289855,0.11595863292762307,0.14039999999999997,207
44,0.8530291001845218,0.14697089981547812,0.14697089981547812,0.1285536853039877,0.11349999999999993,9213
16,0.8499249816041207,0.15007501839587933,0.15007501839587933,0.14667807472609817,0.08430000000000004,2718
1,0.8494693963165075,0.1505306036834925,0.1505306036834925,0.170702894361816,0.08079999999999998,29320
38,0.8482009985804494,0.15179900141955063,0.15179900141955063,0.16255336949804775,0.0817,20429
23,0.8475671722506232,0.15243282774937683,0.15243282774937683,0.17311104219126666,0.08079999999999998,23669
75,0.8444135704874836,0.15558642951251647,0.15558642951251647,0.15095048800448288,0.09709999999999996,759
8,0.8441080833865136,0.15589191661348648,0.15589191661348648,0.1641772802673685,0.07550000000000001,9402
37,0.8432263227513228,0.15677367724867722,0.15677367724867722,0.13357986933156626,0.11714999999999999,1512
61,0.8390997923365487,0.16090020766345126,0.16090020766345126,0.1571500057447583,0.10820000000000007,14928
22,0.8364814901528715,0.16351850984712848,0.16351850984712848,0.15938657642816925,0.10270000000000001,7261
118,0.8350182521489972,0.16498174785100286,0.16498174785100286,0.14424498141436032,0.09230000000000005,6980
50,0.8320080559254327,0.16799194407456727,0.16799194407456727,0.12417063700645017,0.1421,3004
57,0.8318700966089606,0.16812990339103936,0.16812990339103936,0.17977196856406824,0.08709999999999996,15423
2,0.83059897870365,0.16940102129635,0.16940102129635,0.18098932662522696,0.08500000000000008,17233
60,0.8291323440812228,0.1708676559187772,0.1708676559187772,0.14680984435225602,0.1281,8963
54,0.8281468933943754,0.17185310660562458,0.17185310660562458,0.17388264263062367,0.09970000000000001,1529
78,0.8279604690117253,0.1720395309882747,0.1720395309882747,0.14212165449462558,0.15550000000000003,597
51,0.8271768908015061,0.17282310919849384,0.17282310919849384,0.15810926967190486,0.11950000000000005,18590
17,0.8245707997612652,0.1754292002387347,0.1754292002387347,0.18424995317857887,0.0963,6702
83,0.8240631760644419,0.1759368239355581,0.1759368239355581,0.14608905676401385,0.1358,1738
79,0.8183081733746129,0.18169182662538702,0.18169182662538702,0.12356008934112946,0.16075,3230
56,0.8173196051435967,0.18268039485640333,0.18268039485640333,0.16674647227981934,0.1755,36317
9,0.8147825466031944,0.18521745339680562,0.18521745339680562,0.17447439634418754,0.10709999999999997,22477
73,0.811616957605985,0.18838304239401502,0.18838304239401502,0.07975697907845243,0.19010000000000005,401
15,0.8078774677658,0.19212253223419995,0.19212253223419995,0.21418215138291066,0.09289999999999998,23655
59,0.80465,0.19535,0.19535,0.22785365461534435,0.0907,256
53,0.8018391732787304,0.1981608267212695,0.1981608267212695,0.21332943666951457,0.09229999999999994,7814
63,0.8017462404851785,0.19825375951482146,0.19825375951482146,0.16717338214233848,0.0968,48477
62,0.8008853945170482,0.19911460548295176,0.19911460548295176,0.17984702797574595,0.12479999999999997,254425
82,0.7998229479053949,0.20017705209460507,0.20017705209460507,0.18481618324011645,0.11534999999999995,12938
3,0.7952193208077967,0.20478067919220339,0.20478067919220339,0.18462893747001619,0.14750000000000008,9953
30,0.7888076645376284,0.21119233546237157,0.21119233546237157,0.20300933603905097,0.12130000000000002,3601
97,0.788037614678899,0.21196238532110098,0.21196238532110098,0.11204576759074081,0.2378,109
28,0.7854913789004457,0.21450862109955424,0.21450862109955424,0.18541250359005898,0.15499999999999997,33650
21,0.7849387212394496,0.21506127876055037,0.21506127876055037,0.18579858338323652,0.15180000000000005,8649
5,0.7832828443608387,0.21671715563916125,0.21671715563916125,0.19265521156562349,0.15710000000000002,82929
68,0.7826927798682973,0.2173072201317027,0.2173072201317027,0.20994349705765245,0.09739999999999993,4252
26,0.7820934541167711,0.21790654588322889,0.21790654588322889,0.16037475510865454,0.18810000000000004,16117
40,0.7810331018518519,0.2189668981481481,0.2189668981481481,0.2561842351878852,0.0826,432
10,0.7803439957679421,0.2196560042320579,0.2196560042320579,0.12563562195869502,0.2064,5671
0,0.7788108747629647,0.2211891252370352,0.2211891252370352,0.210094297833517,0.14140000000000003,12129
65,0.7737332998996991,0.22626670010030092,0.22626670010030092,0.1891475235042708,0.17959999999999998,3988
77,0.7710003324468084,0.22899966755319154,0.22899966755319154,0.19013286515100308,0.19320000000000004,6016
52,0.7672056338028169,0.2327943661971831,0.2327943661971831,0.22334762725726207,0.14770000000000005,3905
81,0.7629961240310077,0.23700387596899225,0.23700387596899225,0.14502349274349807,0.2158,7998
64,0.7629010227272727,0.2370989772727273,0.2370989772727273,0.1322717899315192,0.21960000000000002,1760
84,0.7594722538649308,0.2405277461350692,0.2405277461350692,0.1571389413272417,0.2214,2458
102,0.7586643226062773,0.2413356773937227,0.2413356773937227,0.10661190060879196,0.24380000000000002,2517
39,0.7581977995110025,0.24180220048899753,0.24180220048899753,0.21328696621789203,0.1693,818
74,0.756114694508894,0.24388530549110596,0.24388530549110596,0.18186381591543227,0.20920000000000005,1293
20,0.7553662766366315,0.2446337233633685,0.2446337233633685,0.23986673821682414,0.14790000000000003,23417
70,0.7478814960629921,0.25211850393700785,0.25211850393700785,0.19087407616349247,0.21630000000000005,1270
45,0.7474111857835218,0.25258881421647816,0.25258881421647816,0.21351389121826564,0.19200000000000006,15475
31,0.7448123539663074,0.25518764603369265,0.25518764603369265,0.18725725108146773,0.20850000000000002,15493
43,0.7429387096774194,0.2570612903225807,0.2570612903225807,0.1729580832497761,0.23720000000000002,310
12,0.7383971782186851,0.26160282178131483,0.26160282178131483,0.2257385694345208,0.19340000000000002,172019
34,0.7362751634904152,0.26372483650958484,0.26372483650958484,0.20561933619074044,0.2279,35629
67,0.7358613358419568,0.26413866415804327,0.26413866415804327,0.1975472764843697,0.2241,4252
66,0.7346232770077843,0.26537672299221565,0.26537672299221565,0.2085761291095001,0.22420000000000007,5267
72,0.7261410064633276,0.27385899353667237,0.27385899353667237,0.21042658878332196,0.2074,46261
105,0.7242377037562013,0.2757622962437987,0.2757622962437987,0.2497878604818201,0.22160000000000002,1411
13,0.7161201519107525,0.28387984808924754,0.28387984808924754,0.16149790911466924,0.28080000000000005,4213
119,0.7160875862068965,0.2839124137931035,0.2839124137931035,0.07701786536912318,0.24850000000000005,725
71,0.7128879280325015,0.28711207196749855,0.28711207196749855,0.12405510022304225,0.26739999999999997,1723
24,0.7096230657288383,0.29037693427116174,0.29037693427116174,0.2898230929553426,0.0988,4123
96,0.7014981651376146,0.29850183486238535,0.29850183486238535,0.13812567209935453,0.28900000000000003,109
