epoch,theta_global,beta_skill_mean,beta_skill_std,beta_skill_min,beta_skill_max,M_sat_mean,M_sat_std,M_sat_min,M_sat_max,gamma_student_mean,gamma_student_std,gamma_student_min,gamma_student_max,offset
1,0.817890,1.962060,0.498249,0.568539,3.144521,0.817585,0.011093,0.781733,0.830721,0.966797,0.000257,0.966253,0.971970,1.971593
2,0.785600,1.931331,0.495542,0.549425,3.111369,0.834968,0.021677,0.765379,0.861578,0.934147,0.000466,0.933019,0.943837,1.942013
3,0.753428,1.901342,0.492621,0.532520,3.078340,0.852267,0.031572,0.749472,0.892121,0.902054,0.000757,0.900478,0.922257,1.912148
4,0.721649,1.872042,0.489513,0.518472,3.045487,0.869380,0.041046,0.733907,0.922344,0.870498,0.001124,0.869107,0.898505,1.882049
5,0.690301,1.843338,0.486197,0.507333,3.012802,0.886165,0.050351,0.718676,0.952245,0.839450,0.001548,0.837484,0.873364,1.851282
