variant,short_title,folder,found,best_epoch,best_val_auc,best_val_accuracy,train_loss_at_best,mastery_corr_best,gain_corr_best
baseline,real_baseline_e5,20251028_034014_gainakt3_real_baseline_e5,True,3,0.7306921194674496,0.7573309715909644,0.5046671749396645,0.2211792501134472,0.002422886037870027
no_fusion,real_nofusion_e5,20251028_034356_gainakt3_real_nofusion_e5,True,2,0.6818110453495186,0.745009683792543,0.5347036618951688,0.0950782206325341,0.00843909028211769
no_diff_penalty,real_nodiffpen_e5,20251028_034726_gainakt3_real_nodiffpen_e5,True,3,0.7302698747439126,0.7577105373288304,0.5044349856636067,0.2184364742392778,0.0019671072738093637
both_disabled,real_both_disabled_e5,20251028_035054_gainakt3_real_both_disabled_e5,True,2,0.681821528524786,0.74525299516297,0.5347223431644045,0.10881778360151594,0.007741730806427163
