epoch,train_loss,valid_auc,valid_acc,l_sup,l_ref,l_initmastery,l_rate,l_rasch,l_gap,l_student
1,0.9302083141083356,0.7013832732276113,0.7472578808552881,0.5399412405944379,0.014159826788607348,0.020582495781258096,0.11469983194945199,0.0,12944.722114839702,12807.316186143944
2,0.9122445495459408,0.7095743695374503,0.7493308937313259,0.5273218136314809,0.012214433358393494,0.020016170546512158,0.11258110279741136,0.0,12924.814976825615,12787.401043353304
3,0.9054852635968501,0.7134791804045597,0.7509367487761438,0.5235998071321345,0.012074764716617493,0.01948397651225587,0.11068978216722246,0.0,12900.493255140867,12763.083954015545
4,0.9005383453603699,0.7163127551918085,0.7516569504326076,0.5212645112283298,0.012194150783739251,0.01897332417166268,0.10894430717641805,0.0,12875.023333771858,12737.609506557643
5,0.8959366445685555,0.718941276292525,0.7533309326611451,0.5191276411036619,0.012367314215112536,0.018479200345584146,0.10728887182442541,0.0,12849.054788698186,12711.644392102493
6,0.8924774755022509,0.7197179861814893,0.7533017352966939,0.5181967689913656,0.012431608715668861,0.01799996292788182,0.10569823676780445,0.0,12822.823824077073,12685.417108565414
7,0.8885685192576326,0.7202522564479348,0.7531654809292548,0.5166811951403091,0.01256164298465215,0.017533432383490224,0.10415536076073777,0.0,12796.447017689443,12659.046923069138
8,0.8853831587601136,0.7212082894217058,0.7535353142123038,0.5159751297784774,0.01257838616678443,0.017078846039567785,0.10265376917252521,0.0,12769.978110832253,12632.589823510363
9,0.8819523330539575,0.7220185261613202,0.7541095290465114,0.5148954682964204,0.01266191834149583,0.016635566633973368,0.10118807465330078,0.0,12743.47573773478,12606.08857371276
10,0.8791167886658326,0.7232604144528588,0.7538564852212674,0.5143719522181938,0.012738735004873474,0.016203364951506944,0.0997579685708484,0.0,12716.96773548818,12579.57357867147
11,0.8756738606280562,0.7237319896071097,0.7540316694079747,0.5131451233223696,0.012858069530770259,0.015781797486967356,0.09836063404647291,0.0,12690.44215511658,12553.054566062176
12,0.8727545947167135,0.7236885047005399,0.7539148799501698,0.512547123427754,0.012854724789491899,0.015370815485830974,0.09699282191211175,0.0,12663.93321931671,12526.54924050761
13,0.8700361974501705,0.7239709955106679,0.7540803316820601,0.5120170502771169,0.012927478879033902,0.014969795514198763,0.09565321106153904,0.0,12637.442104517488,12500.07110437581
14,0.8671017691660041,0.7238967701864585,0.7543723053265725,0.511260855484941,0.012974686153387467,0.01457861324133789,0.0943423051835254,0.0,12610.978128541936,12473.613498826102
15,0.8640424031946277,0.7244255764530889,0.7542555158687676,0.5103132733772465,0.013043940564318334,0.014197262467105768,0.0930580550579556,0.0,12584.533031088084,12447.18523822053
16,0.8614529222585839,0.7245437561385947,0.7541581913205968,0.5097880342762279,0.013119221771126276,0.013825723392568745,0.09180075006364914,0.0,12558.125814645402,12420.801332780116
17,0.8585089938361725,0.7245258230173119,0.7542944456880359,0.5088093767710298,0.01324440482424794,0.013463630355861044,0.090569726086605,0.0,12531.751054991095,12394.435114252752
18,0.8558035648633984,0.7243922569900983,0.7542068535946822,0.5081241880542546,0.013291468819690183,0.01311115714512472,0.08936470745166716,0.0,12505.424845166775,12368.122287888602
19,0.8533517642916597,0.7246694197600174,0.7543528404169384,0.5076410985220963,0.013349255460068352,0.012768000682024874,0.08818616639787812,0.0,12479.135739657546,12341.834080513278
20,0.8508259299968867,0.724884870415545,0.7542944456880359,0.5070281921336877,0.013422043912035504,0.012434072184741258,0.08703241430163859,0.0,12452.878506517163,12315.60175730651
21,0.8481519729297624,0.7253088008411526,0.7542457834139505,0.5062247501971814,0.013497209712052283,0.01210951441331721,0.08590631779865117,0.0,12426.655792078205,12289.414027080635
22,0.8457121665019357,0.7247764798216658,0.7537494282182795,0.5055749598714078,0.01360853884484947,0.01179352920452336,0.08480600171387812,0.0,12400.50541410298,12263.260891454825
23,0.8432039220372298,0.7238276002443351,0.7542847132332188,0.5048395161163545,0.013703427137565736,0.011486270829161442,0.08373184401740177,0.0,12374.382673352493,12237.157418839055
24,0.840778295641262,0.7238405885738631,0.7539830071338893,0.5042154265015107,0.013743919672666437,0.01118754560399531,0.0826842874608485,0.0,12348.30784488342,12211.097952254695
25,0.8386433536746704,0.7241770100276761,0.7536521036701087,0.5037639882101903,0.013852056941027159,0.010897526610667028,0.08166145461020248,0.0,12322.285538273154,12185.06835431509
26,0.8361694001622196,0.7241325012368999,0.754187388685048,0.5030164632555367,0.013896492676606758,0.010615687877909065,0.08066169046878925,0.0,12296.284908314443,12159.101769956282
27,0.8338354718727744,0.7239343630174976,0.7542944456880359,0.5022375313273333,0.014054783581336236,0.010341952226708504,0.07968494435989013,0.0,12270.333933775906,12133.168138256962
28,0.8316923415319717,0.7236360208444007,0.7540414018627919,0.5017418245135371,0.014108168685065649,0.010076174162595705,0.07873211528505239,0.0,12244.443698388925,12107.295038252914
29,0.8293313077752,0.7230097647913102,0.7539927395887065,0.5009680200417486,0.01418482953769401,0.009818185790847162,0.07780110422325627,0.0,12218.580756152849,12081.44609425599
30,0.8268517311773379,0.7226509095099118,0.7539538097694382,0.4999581378004737,0.014332133084728619,0.009567740504988284,0.07689204959024476,0.0,12192.778482229598,12055.65019075858
31,0.825098203055035,0.7228507019045197,0.7538467527664503,0.4997236504066534,0.014411732337287979,0.009324776592002046,0.07600582193645655,0.0,12167.02701232594,12029.915633601846
