epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,0.97,0.6865707507607173,0.6864679386978432,0.542126132672211,0.7431021226483956,0.7431118551032126,0.7249413619597271,0.09081548072245656,0.09037436681742571,0.10507807698176831
2,0.97,0.7053858050614816,0.705445464481388,0.5792756814555299,0.7469075124818733,0.746625271292178,0.7276080545796066,0.08888272317696591,0.08846699522466075,0.1023245072182344
3,0.97,0.7139374093501027,0.7140636443959563,0.5948337068946657,0.7495255428276674,0.7497396568336432,0.7320168566117432,0.08785373459056932,0.08747886090862508,0.09997457341880214
4,0.97,0.7191355665102546,0.719317757308271,0.6016719445348255,0.7506837049508998,0.7505669154930948,0.7321920407984506,0.0872704065879997,0.08691050279505398,0.0989072038506975
5,0.97,0.722105988581728,0.7222772531042398,0.6058849718877161,0.7517640074355955,0.7519197267126687,0.7334572599246708,0.08690563467692355,0.08654815369114584,0.09846412253623106
6,0.97,0.7238928345006919,0.7240454979264657,0.6085614818032525,0.7532141432033401,0.7536423712152917,0.7323185627110727,0.08667980225718751,0.08633725770882197,0.09775533131798919
7,0.97,0.7245023891969729,0.7246419413877054,0.6087134181406991,0.7537980904923649,0.7537688931279136,0.7343137159485738,0.08659240086467898,0.08625848971459331,0.09738880091783952
8,0.97,0.7250106611296427,0.7251230379015332,0.612087196402631,0.7541581913205968,0.754430700055475,0.7341579966715005,0.08655061405532215,0.08622256575190292,0.0971574211607174
9,0.97,0.7249801056860323,0.7250905506985217,0.6136873453985956,0.7543528404169384,0.7542652483235847,0.7346640843219885,0.08656204643906379,0.08624420482285168,0.09683882946870764
10,0.97,0.7244577163679764,0.7245353162982746,0.6150513133473797,0.7541581913205968,0.7540705992272431,0.7347906062346106,0.08667487651109695,0.08636913387751093,0.09656047729813323
11,0.97,0.7239269948442886,0.723988176174349,0.6155756967396557,0.7537591606730966,0.7537104983990112,0.7343721106774762,0.0867816042535159,0.08648361341685665,0.0964165463739512
12,0.97,0.7230984853306801,0.723122601658389,0.6181103596535023,0.7533406651159622,0.7532725379322427,0.7340120098492443,0.0869209523103675,0.08663424226094266,0.09619117999563412
