epoch,lambda_interp,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,val_l_bce,val_l_stability,val_l_align_total,val_l_21_performance,val_l_22_difficulty,val_l_23_ability,val_theta_mean,val_theta_std,val_mastery_mean,val_mastery_std
1,0.01,0.15376081282919551,0.6141228136299272,0.7186499779423497,0.17053587521825517,0.6833781775896588,0.7402602458418087,0.0914295822077868,0.0003657520669084803,8.001693316868373,7.824594030574876,0.0003657520669084803,0.1770992935920248,7.404304504394531,6.503908634185791,0.8975106477737427,0.25826752185821533
2,0.02,0.2690276907361233,0.685763035285625,0.7418034710293883,0.27812365153614355,0.6996266613260157,0.7466836660210805,0.08900732714302685,0.0008105035783361872,9.544418354423678,9.5339352160084,0.0008105035783361872,0.010483198447571116,27.495128631591797,32.48588180541992,0.6635458469390869,0.442487508058548
3,0.03,0.3628365474661397,0.700179027639194,0.7448047193985301,0.37197077821712105,0.7065779900186044,0.7492822314572405,0.08812161611050975,0.001055784156422454,9.54940854286661,9.542006706704898,0.001055784156422454,0.007401783698789624,28.127187728881836,32.97706985473633,0.6740954518318176,0.4370960593223572
4,0.04,0.4516382381088375,0.7084012749514637,0.7470996536479599,0.4664866188350989,0.7122391716560517,0.7504111962160216,0.08752014305518598,0.001405162827054761,9.561331067766462,9.550941934390943,0.001405162827054761,0.010389091157145341,28.698474884033203,33.33924865722656,0.6861693263053894,0.4318229556083679
5,0.05,0.5406250048795512,0.7159651378616452,0.7492678737363783,0.5611781234643898,0.7175067825001129,0.7514720337910831,0.08698204129326101,0.00185650001679148,9.570532273273079,9.55562753093486,0.00185650001679148,0.014904734564526958,28.708789825439453,33.5076789855957,0.6845865249633789,0.4320114552974701
6,0.06,0.6297150587788518,0.7215841338170931,0.7512765278442636,0.6569302580794509,0.7202307401013857,0.7524550117276081,0.08667278031305391,0.0024157046549478354,9.590561652670102,9.565815322253169,0.0024157046549478354,0.024746283850803668,29.06923484802246,33.75494384765625,0.6899164915084839,0.42953285574913025
7,0.07,0.7190290121216848,0.7265194110591281,0.7524873520494842,0.7515420451456186,0.7225969685214745,0.7536131738508404,0.08640314212867192,0.0030848442491295995,9.587946736082738,9.566550994405942,0.0030848442491295995,0.02139573291476284,29.095911026000977,33.58990478515625,0.6970568895339966,0.4252547323703766
8,0.08,0.8083168524534591,0.730802131706093,0.7537685730108223,0.8459926417895726,0.7232961090217913,0.7538370203116332,0.08630958883738031,0.003864750313591592,9.581864921414123,9.568918286537638,0.003864750313591592,0.012946577334054271,29.27028465270996,33.71253204345703,0.7000706195831299,0.4240613579750061
9,0.09,0.8976960988242392,0.7340450008845327,0.7547447413623181,0.9415146781473743,0.7242947237067066,0.7538370203116332,0.08621820275272642,0.004747309997601777,9.588984567291883,9.572252331947794,0.004747309997601777,0.016732182971448923,29.477157592773438,33.76640701293945,0.7030638456344604,0.42187216877937317
10,0.1,0.9873909292443429,0.7370791888321084,0.7559391396577779,1.037576557422171,0.7234117108934643,0.753934344859804,0.08636612749221373,0.005744295679412934,9.597895933657277,9.569783210754395,0.005744295679412934,0.028112753560500487,29.840225219726562,33.88783264160156,0.7075717449188232,0.4186753034591675
11,0.11,1.0762482029168716,0.7403045806019221,0.7575042942021232,1.1347644888624853,0.72416025128212,0.7539148799501698,0.08630362928521876,0.006839798981970062,9.617144292714645,9.582611395388234,0.006839798981970062,0.03453290823618976,29.649499893188477,33.795509338378906,0.708567202091217,0.41875436902046204
12,0.12,1.1659905916668591,0.7430203031905456,0.7583467087169956,1.231197872940375,0.7230875415676176,0.7532141432033401,0.0864704848856342,0.00801475608379257,9.625197721987355,9.59187550447425,0.00801475608379257,0.03332222450752648,29.78774070739746,33.80253982543945,0.7127803564071655,0.41696327924728394
13,0.13,1.255303032657643,0.7455197594609875,0.7591703507635702,1.3240241250213312,0.7227528641898363,0.7535547791219379,0.0865940059326133,0.009278667682059566,9.604573755848165,9.580359030743034,0.009278667682059566,0.02421477640389788,29.89873695373535,33.94524002075195,0.7097456455230713,0.41797924041748047
14,0.14,1.3454015526746839,0.7476442512470962,0.7603318972395086,1.419058152607509,0.7219959728764724,0.7515498934296198,0.08655968749401521,0.010655155861560179,9.603644682436574,9.584456443786621,0.010655155861560179,0.019188203620819414,29.790565490722656,34.15888977050781,0.7037883996963501,0.42219066619873047
15,0.15,1.4342798989053835,0.7500671549544868,0.7615614939130272,1.516584831841138,0.7210453669569714,0.7496325998306553,0.08681628001587731,0.012137546375089762,9.61779717036656,9.5899478951279,0.012137546375089762,0.02784930500296914,29.6135311126709,33.84809494018555,0.7095750570297241,0.4193229079246521
16,0.16,1.5234166846991821,0.7520371978650449,0.762162212898563,1.6116316367168815,0.7190820181298095,0.7452140653437016,0.08742399924263662,0.01363774592398989,9.612869632487394,9.59505795459358,0.01363774592398989,0.017811712352749035,29.73911476135254,33.80809020996094,0.716149628162384,0.4161936640739441
17,0.17,1.612525918940806,0.7546787857758664,0.7635208702916303,1.70935907899117,0.7186789772080027,0.7459148020905313,0.08740030700454907,0.015106663545023422,9.627445435037417,9.606242335572535,0.015106663545023422,0.021203149661269724,30.03433609008789,34.0280876159668,0.7187005281448364,0.41518014669418335
18,0.18,1.70216011136307,0.7566884536783571,0.764393790067487,1.8047364755552642,0.7179300163790439,0.7459634643646167,0.08736574284884395,0.016579688526690006,9.62739288563631,9.606323514665876,0.016579688526690006,0.021069331845382646,29.815244674682617,33.61317443847656,0.7232378125190735,0.41226688027381897
