skill_id,concordance,mae,envelope_mean,envelope_std,envelope_median,n_predictions
35,0.929836546184739,0.07016345381526105,0.07016345381526105,0.10279757272123646,0.038799999999999946,249
91,0.9278445544554456,0.07215544554455447,0.07215544554455447,0.11700420631348901,0.041100000000000025,101
58,0.9084913203577065,0.09150867964229352,0.09150867964229352,0.12477382895882137,0.06099999999999994,1901
69,0.907316500332668,0.09268349966733198,0.09268349966733198,0.12171716831153605,0.05999999999999994,1503
4,0.9031162037037037,0.0968837962962963,0.0968837962962963,0.15431101860106178,0.028699999999999948,9072
86,0.8937922077922078,0.1062077922077922,0.1062077922077922,0.08036416749964552,0.09129999999999994,308
55,0.871887479981494,0.128112520018506,0.128112520018506,0.11917499281399785,0.10340000000000005,28099
32,0.8717427927927928,0.1282572072072072,0.1282572072072072,0.1268303008580122,0.0867,3774
11,0.8664162192118227,0.13358378078817734,0.13358378078817734,0.1587907990910334,0.07589999999999997,16240
27,0.8640055299539171,0.13599447004608292,0.13599447004608292,0.15619236586303842,0.050000000000000044,1085
25,0.8576117339424725,0.14238826605752758,0.14238826605752758,0.17432183821656586,0.07440000000000002,33271
80,0.855559375,0.14444062500000002,0.14444062500000002,0.15015399856252157,0.09730000000000005,256
1,0.8517911016371078,0.1482088983628922,0.1482088983628922,0.16842867733301906,0.08150000000000002,29320
23,0.8500130973002662,0.14998690269973383,0.14998690269973383,0.17061352154547696,0.07489999999999997,23669
78,0.8488938023450586,0.15110619765494138,0.15110619765494138,0.1592140974831172,0.07619999999999999,597
18,0.8469245544554456,0.15307544554455446,0.15307544554455446,0.14474389630890916,0.11070000000000002,5555
6,0.846807260479042,0.15319273952095808,0.15319273952095808,0.12642750844284711,0.1116,1336
44,0.8466782155649626,0.15332178443503747,0.15332178443503747,0.13176980881845138,0.11509999999999998,9213
90,0.8450821428571429,0.15491785714285713,0.15491785714285713,0.17347727072958785,0.07715,644
51,0.8442735449166219,0.15572645508337818,0.15572645508337818,0.1510640776917266,0.10850000000000004,18590
7,0.8349360946745562,0.1650639053254438,0.1650639053254438,0.2006889290642196,0.05719999999999992,169
8,0.834277568602425,0.165722431397575,0.165722431397575,0.17285224187570464,0.09049999999999997,9402
59,0.832345703125,0.167654296875,0.167654296875,0.20377600635447293,0.06779999999999997,256
