epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,0.9,0.6766807340031541,0.6777709778270522,0.594954406758954,0.742771219184615,0.7432870392899201,0.7154424860582584,0.09268829393751767,0.09113230951586548,0.10669217258691788
2,0.9,0.6943772020745603,0.6951577067636125,0.6094521268271992,0.7455547012622994,0.7458564073616288,0.7148974685885021,0.09107426721222546,0.0894857269464707,0.10537115225986558
3,0.9,0.7012882874627051,0.7020848388335077,0.6192643246905338,0.7469659072107758,0.7469561747559587,0.7196566389940535,0.09016586368789478,0.08884613565644439,0.10204343011184615
4,0.9,0.7034226614052467,0.7043487608520828,0.6274846175868352,0.7478126307798616,0.7485036350718742,0.7254571820650323,0.08972034998694245,0.08850637686495878,0.1006461292201159
5,0.9,0.7062242164737811,0.7069186018361414,0.6358948748701432,0.7479391526924837,0.7487177490778499,0.7286688921546681,0.0890912903206689,0.08816430687296148,0.09743415883609227
6,0.9,0.707875153771669,0.7085239426664056,0.6396241919350427,0.749107047270533,0.749720191924009,0.7298173218230835,0.08880644899849989,0.08796658579792295,0.09636523011995822
7,0.9,0.7091478861746771,0.7097103013110678,0.6451171090282394,0.7494768805535821,0.7497104594691919,0.732114181159914,0.08848144661407081,0.08774858180965696,0.0950772573753279
8,0.9,0.7099480530365221,0.7103191323672724,0.6481079612472365,0.7492724990024234,0.750090025207058,0.7340801370329638,0.08830431225348492,0.08766558720749251,0.094052862452001
9,0.9,0.7106901065263709,0.7110817507327323,0.6502901868134738,0.749720191924009,0.7504890558545582,0.7344597027708298,0.08824407795862275,0.08762687292634225,0.09379894818578448
10,0.9,0.7112823884414119,0.7117514283923589,0.6519449506846184,0.7495742051017528,0.7504987883093752,0.7351701719724766,0.08830722269355035,0.08770387437270612,0.09373737932467947
11,0.9,0.7119951665276356,0.7121640857469452,0.65440547669726,0.7504403935804728,0.750839424227973,0.7376324830411974,0.08794942741491357,0.08742063158020681,0.09270860999822617
12,0.9,0.711328492540825,0.7116595630481909,0.6545996257830072,0.7502262795744971,0.750712902315351,0.7361920797282698,0.088214175737634,0.08766571249888867,0.09315035978750306
13,0.9,0.7116917404012308,0.7119506267026015,0.6558365542582694,0.7503625339419362,0.7508102268635218,0.7368538866558312,0.08818196049150155,0.08763068595102855,0.09314344412818247
14,0.9,0.7114754353183973,0.7115268177046854,0.6571041598511372,0.7507031698605339,0.7509562136857779,0.7371555927551606,0.08805946549590753,0.0875366070136732,0.09276521266723166
15,0.9,0.7110571299751813,0.711065274743748,0.6573910998901087,0.7508199593183389,0.7511313978724854,0.7380217812338806,0.08805227005968289,0.08754195850722644,0.09264509912048068
