epoch,train_loss,valid_auc,valid_acc,l_sup,l_ref,l_initmastery,l_rate
1,0.7842972849163075,0.7515196074336556,0.7315664931377189,0.5873527661487088,0.021248595595049363,0.016286112072124565,0.029983745161090657
2,0.6763322169365694,0.7642175928837796,0.737359204921912,0.5560113867696509,0.01488214092872416,0.004704088624131347,0.004582097282785465
3,0.6565368688948588,0.7684233270862824,0.7398580217699953,0.5509720528682028,0.013561323925387114,0.00204176397483429,0.002746542874074166
4,0.6436873642323995,0.7712997887717578,0.7440795078088026,0.5485773020950179,0.012393494602292776,0.001189099471195379,0.0017781877233055037
5,0.6365898556046103,0.7715778645681353,0.7450449597728348,0.5468166875574011,0.011779073489985118,0.0008620827565600317,0.0012180617373678973
6,0.6318536614935764,0.7719657208032572,0.7454424988168481,0.5457887499408702,0.011335087261007478,0.0006926528639727311,0.0009154968673832036
7,0.6284599783383197,0.772150885227376,0.743151916706105,0.5449363639463078,0.01102826080750674,0.000582069355044792,0.0007316835064174153
8,0.6254631082992926,0.7724422424015589,0.7424136299100804,0.5444764255439416,0.01071278357024615,0.0005002025646689212,0.0006034779286998925
9,0.622930977559737,0.7719069680700621,0.7423379081874113,0.5437198271349218,0.0104918850120157,0.0004442947589212653,0.0005104392873747937
10,0.6207272766260888,0.7711870159675644,0.7404070042593469,0.5436301876558817,0.010222110897302628,0.0003980195941838203,0.00044287030982587063
11,0.6187014263926779,0.7720022197870877,0.7412778040700426,0.5429896031440545,0.010046480398159474,0.00036519493569613787,0.0003876620399671039
12,0.6169092524270056,0.7718508155449493,0.7406909607193564,0.5429468744364632,0.009820049337577075,0.00033593852071815374,0.0003534575300613993
13,0.614806477889596,0.7719668823135302,0.7390061523899669,0.542242138901801,0.009639179110915089,0.0003133388346196793,0.0003217320446317824
14,0.6134799198423555,0.7720745767585709,0.7382300047326077,0.5419272041178335,0.009509359583413849,0.0002923666945852118,0.0002963085437451605
15,0.6115934773534183,0.7707414905505257,0.736980596308566,0.5418612352614418,0.009269833409537872,0.0002771013216042697,0.00027325521198836715
16,0.6105940874484003,0.7714972896161718,0.737548509228585,0.5418499038958071,0.009141279384493828,0.00026221956786061677,0.0002580979021589446
17,0.6088069823062265,0.7706547379388395,0.7358826313298628,0.5413992839763428,0.008965249047226584,0.00025002500701014135,0.0002467026744158041
18,0.607998490003241,0.7704641557583292,0.7353336488405111,0.5413686722936945,0.008863374503562227,0.0002406224347503189,0.0002371159575173864
