epoch,phase,lambda_bce,epsilon,val_bce_auc,val_bce_acc,val_total_loss,val_bce_loss,val_rasch_loss,train_total_loss,train_bce_loss,train_rasch_loss
1,1,0.5,0.0,0.6871278063300339,0.7432189121062005,0.0903321065160693,0.0903321065160693,0.0,0.10837622689459608,0.10837622689459608,0.0
2,1,0.5,0.0,0.7062086619066914,0.7466642011114464,0.0884058802407615,0.0884058802407615,0.0,0.09348094027122686,0.09348094027122686,0.0
3,1,0.5,0.0,0.714990205415802,0.7492141042735209,0.08743930532007801,0.08743930532007801,0.0,0.09181513201078603,0.09181513201078603,0.0
4,1,0.5,0.0,0.7200673164087565,0.7513065820591928,0.0868354324175387,0.0868354324175387,0.0,0.09080072598522192,0.09080072598522192,0.0
5,1,0.5,0.0,0.7225937771652896,0.7521338407186444,0.08651574761891852,0.08651574761891852,0.0,0.08998804581906511,0.08998804581906511,0.0
6,1,0.5,0.0,0.7241192582294145,0.7531460160196206,0.08632701255229054,0.08632701255229054,0.0,0.08935715935622472,0.08935715935622472,0.0
7,1,0.5,0.0,0.7249333818866761,0.7539051474953528,0.08623819661383726,0.08623819661383726,0.0,0.08879610569906358,0.08879610569906358,0.0
8,1,0.5,0.0,0.7254900278530494,0.7539635422242552,0.08619320985614037,0.08619320985614037,0.0,0.08826865441132085,0.08826865441132085,0.0
9,1,0.5,0.0,0.725059404618797,0.7540219369531577,0.08627634434675684,0.08627634434675684,0.0,0.08780278331103103,0.08780278331103103,0.0
10,1,0.5,0.0,0.7248172497232792,0.7537299633086454,0.08635347473378084,0.08635347473378084,0.0,0.08728262799468683,0.08728262799468683,0.0
11,1,0.5,0.0,0.7240088358768593,0.7530486914714498,0.0864531581803244,0.0864531581803244,0.0,0.08680967339965964,0.08680967339965964,0.0
12,1,0.5,0.0,0.7231216575765602,0.7528637748299254,0.08659665894751646,0.08659665894751646,0.0,0.0863028684621339,0.0863028684621339,0.0
