epoch,lambda_interp,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,val_l_bce,val_l_stability,val_l_align_total,val_l_21_performance,val_l_22_difficulty,val_l_23_ability,val_theta_mean,val_theta_std,val_beta_mean,val_beta_std,val_mastery_mean,val_mastery_std
1,0.001,0.11560125004287829,0.6137063182986426,0.7188447423009414,0.09914687579991865,0.685890145594068,0.7434524910218104,0.09109238687218452,0.00032829235685628133,8.142296868927625,4.3507376787613845,0.00032829235685628133,3.7915592388230928,-1.8833006620407104,0.8408936858177185,-5.209646224975586,3.8280675411224365,0.7593345046043396,0.331460177898407
2,0.002,0.10592147329619511,0.6909041562311992,0.7424957057978768,0.10881846230857227,0.705687335388816,0.748854003445289,0.08849106850672742,0.001700044790168806,10.243686423009756,4.30551291485222,0.001700044790168806,5.9381735081575355,-2.5483028888702393,3.4443085193634033,-5.19450044631958,3.821662187576294,0.6734274625778198,0.3741803467273712
3,0.003,0.10753201438509738,0.7078871638843821,0.7464613897258281,0.1199355213617792,0.7141005640791638,0.7518224021644979,0.08742451044369717,0.004311345213530015,10.910057106796575,4.321149290824423,0.004311345213530015,6.588907815972153,-2.3360800743103027,4.018636226654053,-5.179544925689697,3.815147876739502,0.678547203540802,0.36578765511512756
4,0.004,0.11039003544520838,0.7175083684389506,0.7489252761899399,0.13112963416746684,0.7211343054750573,0.7536229063056574,0.0867400627051081,0.008213065488606083,11.163599831717354,4.301749029938056,0.008213065488606083,6.861850796913614,-2.7595553398132324,4.097858428955078,-5.164797782897949,3.808478355407715,0.6429682374000549,0.3713407516479492
5,0.005000000000000001,0.11384588622830692,0.7252244237434885,0.7511240015393424,0.14164697759005487,0.724048581401659,0.7545085596940116,0.08643768910242587,0.013408998502608465,11.10147777868777,4.277374272443811,0.013408998502608465,6.8241035403037555,-2.65095591545105,4.1062164306640625,-5.150165557861328,3.8017852306365967,0.6537233591079712,0.3652763366699219
6,0.006,0.11769089033257776,0.729936705306613,0.753153774674063,0.15208779153775195,0.7254892042136976,0.7547032087903532,0.08617554255286042,0.019883364705102786,11.038411120979154,4.2423786046553635,0.019883364705102786,6.796032564980643,-2.6365230083465576,4.091693878173828,-5.135616779327393,3.795112371444702,0.6551714539527893,0.3633834421634674
7,0.007000000000000001,0.12162595103287326,0.7341187149181878,0.7544068369329542,0.1630379934700168,0.7257645221693985,0.7548199982481582,0.08612681119417658,0.027611078124265283,11.03399387671023,4.219099254024272,0.027611078124265283,6.8148945497006785,-2.6407814025878906,4.108166217803955,-5.121170997619629,3.788435935974121,0.6569212079048157,0.36234068870544434
8,0.008,0.12559129185781578,0.7379874826158969,0.7561104384309971,0.1736561236332874,0.7253119057447618,0.7546156166969995,0.08611846776032935,0.03655969108245811,10.982625533123406,4.206562348774502,0.03655969108245811,6.776063237871442,-2.5802087783813477,4.103706359863281,-5.106810092926025,3.781780958175659,0.6602174043655396,0.3620445132255554
9,0.009,0.12962255773612255,0.7412479000395273,0.7568918424239011,0.18390901934127418,0.7254648635033782,0.7544598974199263,0.08613321321959398,0.04669952020049095,10.898223740713936,4.176951150504911,0.04669952020049095,6.7212726048060825,-2.6080849170684814,4.061348915100098,-5.092551231384277,3.775113105773926,0.6603785157203674,0.36080822348594666
10,0.010000000000000002,0.13356142147526223,0.7446846320012382,0.7586752269122106,0.1955303574094967,0.7249178859398512,0.7542749807784017,0.0862383006178603,0.05799719060257989,10.957446837911801,4.162276866484661,0.05799719060257989,6.795170005486936,-2.5587916374206543,4.116051197052002,-5.078402042388916,3.768420934677124,0.6599793434143066,0.3611298203468323
11,0.011000000000000001,0.13748912659951443,0.7481216402805945,0.7598954373515802,0.20637454883176454,0.7242960532537226,0.7534963843930355,0.08634492207546623,0.0704217119788637,10.9341094153268,4.134300373038467,0.0704217119788637,6.799809047154018,-2.6738574504852295,4.097208499908447,-5.064364910125732,3.761699914932251,0.6497494578361511,0.36364489793777466
12,0.012,0.14141137187653874,0.7515903257853067,0.7615192558593566,0.21781164833477565,0.7233575378870037,0.7526496608239496,0.08642391008990151,0.08394127932130074,10.96545122107681,4.110917524415619,0.08394127932130074,6.854533701526876,-2.712557315826416,4.117568016052246,-5.050436019897461,3.7549479007720947,0.6446228623390198,0.3660520613193512
13,0.013000000000000001,0.14538977395530808,0.754248074566483,0.7629271909817062,0.2304688886720307,0.7224295951037714,0.7527956476462058,0.08655827522886042,0.09853169641324452,11.080811714639468,4.0963166781834195,0.09853169641324452,6.984494987799197,-2.699216365814209,4.215134143829346,-5.036651134490967,3.7481205463409424,0.6431574821472168,0.3669798970222473
14,0.014000000000000002,0.1492248092985524,0.7572934123784523,0.7638822403063666,0.23909965096687785,0.7211159583173661,0.7522408977216323,0.0868456343911132,0.11416029762856815,10.880589134839116,4.073363853960621,0.11416029762856815,6.807225324669663,-2.692967176437378,4.091535568237305,-5.0229268074035645,3.7413265705108643,0.6439080238342285,0.36577147245407104
15,0.015,0.1529545183317649,0.7608356100629553,0.7659307859093853,0.2504562863281795,0.7197649843630936,0.7512871171495586,0.08709671287512293,0.13080122701975763,10.890534245238012,4.054653221247148,0.13080122701975763,6.835881009393809,-2.676441192626953,4.1210832595825195,-5.009319305419922,3.734492063522339,0.643121063709259,0.36522987484931946
16,0.016,0.15670493970880855,0.7641233253637705,0.7673786125268681,0.2603598747934614,0.7182679752601399,0.7501970822100459,0.08742786457343978,0.14843591074554288,10.802905491420201,4.034690136812171,0.14843591074554288,6.7682152962198066,-2.6228840351104736,4.090157985687256,-4.9958109855651855,3.7276365756988525,0.6499308943748474,0.36312609910964966
17,0.017,0.16039033805459274,0.767560609960772,0.7692112747444598,0.2708261466147948,0.7169218529948485,0.7500413629329726,0.08767844630139214,0.16703788175874826,10.76281465802874,4.024432951090287,0.16703788175874826,6.738381697207081,-2.515244483947754,4.101839065551758,-4.982441425323486,3.7207136154174805,0.6570131778717041,0.35999658703804016
