epoch,phase,lambda_bce,epsilon,val_bce_auc,val_bce_acc,val_total_loss,val_bce_loss,val_rasch_loss,train_total_loss,train_bce_loss,train_rasch_loss
1,2,0.5,0.15,0.6839546606044051,0.7425863025430904,0.04530016089580497,0.09060032179160994,0.0,0.05449609845452049,0.10899219690904098,0.0
2,2,0.5,0.15,0.7035778881129389,0.7465182142891902,0.044353959055579435,0.08870791811115887,0.0,0.046928434116389466,0.09385686823277893,0.0
3,2,0.5,0.15,0.7120268613718567,0.7488248060808378,0.04389578826269325,0.0877915765253865,0.0,0.04611833934030385,0.0922366786806077,0.0
