epoch,theta_global,beta_skill_mean,beta_skill_std,beta_skill_min,beta_skill_max,M_sat_mean,M_sat_std,M_sat_min,M_sat_max,gamma_student_mean,gamma_student_std,gamma_student_min,gamma_student_max,offset
1,0.817872,1.970425,0.006413,1.966313,2.022799,0.818748,0.010198,0.785071,0.830772,0.967105,0.000706,0.966198,0.977148,1.972603
2,0.785524,1.941610,0.013054,1.933187,2.046468,0.837373,0.019806,0.773755,0.861753,0.934824,0.001361,0.933038,0.959879,1.943943
3,0.753452,1.913535,0.019918,1.900295,2.070725,0.855883,0.028837,0.764245,0.892416,0.903144,0.002166,0.900503,0.941146,1.916127
4,0.721751,1.886407,0.027078,1.867659,2.095415,0.874219,0.037437,0.760785,0.922749,0.872066,0.003089,0.868986,0.920800,1.887338
5,0.690478,1.860033,0.034434,1.835253,2.120193,0.892277,0.045832,0.759701,0.952745,0.841567,0.004111,0.837606,0.904453,1.858011
6,0.659607,1.834417,0.041992,1.803064,2.145042,0.910048,0.054088,0.757241,0.982400,0.811639,0.005236,0.806510,0.889853,1.828511
7,0.629125,1.809556,0.049722,1.771074,2.169757,0.927253,0.061978,0.750307,1.005600,0.782289,0.006476,0.775760,0.878474,1.798872
8,0.598926,1.785424,0.057490,1.739268,2.193318,0.940749,0.066322,0.743380,1.016493,0.753522,0.007851,0.745407,0.867915,1.769345
9,0.568916,1.761934,0.065284,1.707634,2.216119,0.950663,0.068202,0.736460,1.027736,0.725354,0.009380,0.715320,0.857872,1.741044
10,0.539051,1.739099,0.073108,1.676159,2.238422,0.958384,0.069186,0.729536,1.039812,0.697780,0.011063,0.686748,0.848283,1.713664
11,0.509371,1.716889,0.080954,1.644841,2.260144,0.964405,0.069762,0.722611,1.052601,0.670790,0.012898,0.657352,0.838911,1.686922
12,0.479863,1.695197,0.088740,1.613675,2.280324,0.969462,0.070365,0.715672,1.065278,0.644373,0.014878,0.629852,0.829672,1.660951
