epoch,lambda_interp,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,val_l_bce,val_l_stability,val_l_align_total,val_l_21_performance,val_l_22_difficulty,val_l_23_ability,val_theta_mean,val_theta_std,val_beta_mean,val_beta_std,val_mastery_mean,val_mastery_std
1,0.01,0.1754615977792542,0.6204523026854338,0.7189761495790274,0.19474417244901462,0.6951271739799363,0.7450194162473601,0.09090931029344092,0.0003660097522233442,10.47402963832933,4.533501946196264,0.0003660097522233442,5.940527692133067,-1.6097710132598877,3.7146387100219727,-5.21028470993042,3.8273673057556152,0.7397671341896057,0.34863436222076416
2,0.02,0.19359920594667523,0.696269803667859,0.7438872150104656,0.3069813148099549,0.7060847098492208,0.7495158103728503,0.0886122599548223,0.0019883887500179056,11.006070915533572,4.414352718664675,0.0019883887500179056,6.591718177406156,-1.82790207862854,4.134917736053467,-5.196237087249756,3.819587469100952,0.7286375761032104,0.33536189794540405
3,0.03,0.23471209414573532,0.7053845846233049,0.7463980326453223,0.41742241869167407,0.7129769650782481,0.7519683889867541,0.08762697814678659,0.005094504858158073,11.079110242882553,4.34105584086204,0.005094504858158073,6.738054450677366,-2.214916229248047,4.172947883605957,-5.182687759399414,3.8111629486083984,0.6967240571975708,0.34769487380981445
4,0.04,0.2783253250035597,0.712193269065878,0.7481204066116633,0.5218453121428587,0.7179790928707113,0.7526399283691325,0.08695317105371125,0.00969476212880441,10.956833255534269,4.340963120363196,0.00969476212880441,6.615870125439702,-2.1642074584960938,4.118390083312988,-5.169512748718262,3.802368640899658,0.7062140107154846,0.3418065905570984
5,0.05,0.3223460217831666,0.7179539307973254,0.7495424210852364,0.6426798810764235,0.7212854588132516,0.7532530730226085,0.08670124943767275,0.015748607431899528,11.203123929549237,4.306694220523445,0.015748607431899528,6.896429694428736,-2.3649909496307373,4.263936519622803,-5.156657695770264,3.793308734893799,0.6812248229980469,0.35192224383354187
6,0.06,0.36621581118341556,0.7218463418885875,0.7507673246416805,0.7425643692211229,0.7233243393590976,0.7538564852212674,0.08640821171658379,0.02320113922564351,11.01847757611956,4.271173890756101,0.02320113922564351,6.747303661035032,-2.4599130153656006,4.139815330505371,-5.144101142883301,3.7840397357940674,0.6785135269165039,0.35269516706466675
7,0.07,0.40986125626712266,0.7248886329661398,0.751062991017374,0.8720887364173422,0.7232973570423044,0.7541679237754139,0.08641903482529582,0.031993175723723004,11.30570141150027,4.266706165002317,0.031993175723723004,7.038995314617546,-2.4808530807495117,4.3292436599731445,-5.1318278312683105,3.77459454536438,0.666042149066925,0.35705116391181946
8,0.08,0.45313216120467903,0.7280082882704202,0.7522738152225945,0.9468496916245441,0.7248203457599576,0.75368130103456,0.0862360943336876,0.04206693841486561,10.838648037034638,4.210402318409511,0.04206693841486561,6.6282457429535535,-2.4846253395080566,4.044780254364014,-5.119843482971191,3.765000581741333,0.6758912205696106,0.35293957591056824
9,0.09,0.4956467567021365,0.7299289524640838,0.7528745342081303,1.0809659313182443,0.7252984307192532,0.7544112351458409,0.0861222158585276,0.053364173186068634,11.134011541094099,4.2041316227037075,0.053364173186068634,6.929879928121761,-2.574193000793457,4.226103782653809,-5.108086585998535,3.755328416824341,0.6590768098831177,0.3578590154647827
10,0.1,0.5372993485915228,0.7323498558959305,0.7534377082570701,1.1595173976859268,0.7252661720860142,0.7533406651159622,0.08620547335975025,0.06583320714381276,10.81274108497464,4.166355488251667,0.06583320714381276,6.646385611320029,-2.566615343093872,4.026371479034424,-5.096612453460693,3.7455365657806396,0.6664770841598511,0.3550717234611511
11,0.11,0.5790725717890448,0.7345440364092095,0.7544068369329542,1.29301148288104,0.7251962979618015,0.7535547791219379,0.08624450512686554,0.07943121085361558,11.049632442240812,4.160312876409414,0.07943121085361558,6.889319556100028,-2.557555913925171,4.2022705078125,-5.085403919219971,3.735638380050659,0.6591182351112366,0.35722586512565613
12,0.12,0.6212817276080038,0.7366945465403032,0.7554674813917908,1.4006800116324911,0.7252868652858184,0.7530584239262669,0.08652367822977962,0.09411620424718273,11.029983695672483,4.138919878979118,0.09411620424718273,6.891063894544329,-2.550618886947632,4.208930492401123,-5.074491024017334,3.7256007194519043,0.6586097478866577,0.3573838770389557
13,0.13,0.6622223603910733,0.7373470948647562,0.7558476238748252,1.5008411383142277,0.7251384368047263,0.7530584239262669,0.08630545482951768,0.10984391962387124,10.95890002347985,4.108066909167231,0.10984391962387124,6.85083312404399,-2.5709762573242188,4.175319671630859,-5.063859939575195,3.715477228164673,0.6600816249847412,0.3562333285808563
14,0.14,0.70223117029111,0.7396186891720111,0.7569669322970931,1.5963206534482994,0.7251121953692641,0.7535061168478525,0.08625152539841983,0.1265838030649691,10.863417917368363,4.0858096784474895,0.1265838030649691,6.7776082778463556,-2.53696346282959,4.126354694366455,-5.053492546081543,3.705256700515747,0.6628433465957642,0.3541300296783447
