epoch,lambda_bce,lambda_mastery,lambda_curve,val_total_auc,val_bce_auc,val_mastery_auc,val_curve_r2,val_total_acc,val_bce_acc,val_mastery_acc,val_curve_acc,val_total_loss,val_bce_loss,val_mastery_loss,val_curve_loss,val_curve_mae,val_curve_rmse
1,0.7,0.1,0.2,0.6803448057280334,0.6841105358295654,0.54500979404233,-0.8417113635980973,0.7403770352996136,0.7430534603743102,0.7250289540530808,0.06342640804290066,0.25342774877742846,0.0905594497310872,0.10408642675195422,0.8981374544756753,25.230633,37.156948
2,0.7,0.1,0.2,0.6983667963174514,0.7024253196175116,0.5879952640835789,-0.834453036340497,0.7436763374826032,0.7452237977985188,0.7290581903473513,0.062093061732960905,0.22222241820121297,0.08876854698268735,0.10077063207115446,0.750036857566055,25.116724,37.083652
3,0.7,0.1,0.2,0.7043093773936249,0.7115683250393786,0.5998813673621113,-0.8304855094212462,0.745749350358641,0.7494282182794967,0.7306153831180838,0.06172322844991192,0.20838154381027027,0.08770681811230523,0.09889129746933373,0.6854881936190079,25.071487,37.04353
4,0.7,0.1,0.2,0.7110285986548344,0.7173716881588508,0.6103399228570121,-0.8273870085088364,0.7476569115027883,0.7506545075864486,0.7333404704668659,0.05982539976058161,0.20555449581267882,0.08706934065843115,0.09760801798226881,0.6742257658316164,25.03658,37.01216
5,0.7,0.1,0.2,0.7140760278037591,0.7204221116210533,0.6168773057807053,-0.8276250965016543,0.7486301569844962,0.7516666828874247,0.7338270932077198,0.0623655704678391,0.20341573670810584,0.0866879652045211,0.09692411063885202,0.6652087386773557,25.05979,37.014576
