epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6775,0.6656,0.8977360495025558,0.6775,1
2,0.7199,0.7171,0.8179568151773281,0.7199,2
3,0.7373,0.7251,0.7723878816505588,0.7373,3
4,0.7471,0.7294,0.7575620408873918,0.7471,4
5,0.7551,0.7344,0.7447857180109732,0.7551,5
