epoch,lambda_bce,lambda_mastery,lambda_curve,val_total_auc,val_bce_auc,val_mastery_auc,val_curve_r2,val_total_acc,val_bce_acc,val_mastery_acc,val_curve_acc,val_total_loss,val_bce_loss,val_mastery_loss,val_curve_loss,val_curve_mae,val_curve_rmse
1,0.7,0.1,0.2,0.6524231304708131,0.6623788309888651,0.5420275390516752,0.9341306938123386,0.7390144916252226,0.7393648599986374,0.719724766177773,0.15775336013002558,5.792849876442734,0.09320534507230836,0.1144664994612032,28.580796767254267,4.8265276,7.027013
2,0.7,0.1,0.2,0.675866764778271,0.683456941550931,0.5525086929049888,0.9315237269375951,0.7396276362786985,0.7421288771666877,0.721204099309969,0.12534428558915414,6.153278779010384,0.09144349107328727,0.10890287753878808,30.39188970838274,5.3366756,7.164721
3,0.7,0.1,0.2,0.6847751056444314,0.6912431984298282,0.5585050221138546,0.9666006544431737,0.7410972369560774,0.7451751355244334,0.720590954656493,0.2405376208040954,2.6434813664883983,0.09049331107918097,0.1086300644947558,12.846364945781474,3.2518196,5.00378
