epoch,valid_auc,valid_acc,train_loss,best_auc,best_epoch
1,0.6824,0.6464,0.9824427312959974,0.6824,1
2,0.719,0.7059,0.9250193561669758,0.719,2
3,0.7334,0.7135,0.9016272267189452,0.7334,3
4,0.7543,0.7255,0.8891371489634553,0.7543,4
5,0.7733,0.7378,0.8738824154653718,0.7733,5
6,0.7868,0.7484,0.8582880245007138,0.7868,6
7,0.7955,0.7536,0.8448733753367743,0.7955,7
8,0.8008,0.7559,0.8338858160157739,0.8008,8
9,0.8046,0.7575,0.8257261203137348,0.8046,9
10,0.8072,0.7585,0.8205549916304212,0.8072,10
11,0.8091,0.7592,0.8158333576601571,0.8091,11
12,0.8111,0.7604,0.8122708514629422,0.8111,12
13,0.8126,0.7613,0.8092616027523194,0.8126,13
14,0.8138,0.7621,0.8064192155768152,0.8138,14
15,0.8152,0.7628,0.8043769521364732,0.8152,15
16,0.8164,0.7644,0.8017657016464922,0.8164,16
17,0.8175,0.7642,0.8001226154431409,0.8175,17
18,0.8188,0.7648,0.7980233252309666,0.8188,18
19,0.8199,0.7656,0.7955917589283472,0.8199,19
20,0.8211,0.7663,0.7934344404733636,0.8211,20
21,0.8224,0.7666,0.7919935387073526,0.8224,21
22,0.8237,0.767,0.7899448905886207,0.8237,22
23,0.825,0.7681,0.7873431814855238,0.825,23
24,0.8263,0.7688,0.785698602824996,0.8263,24
25,0.8275,0.7692,0.7826355724465355,0.8275,25
26,0.8288,0.7702,0.7804364690418528,0.8288,26
27,0.83,0.7717,0.7781276834645472,0.83,27
28,0.831,0.7715,0.775514535398054,0.831,28
29,0.8322,0.773,0.773510449408276,0.8322,29
30,0.8322,0.773,0.7708652470920577,0.8322,29
31,0.8336,0.7739,0.7680116269731813,0.8336,31
32,0.8336,0.7739,0.766716275395916,0.8336,31
33,0.8349,0.7742,0.7639704286565149,0.8349,33
34,0.8349,0.7742,0.7619838764180811,0.8349,33
35,0.8361,0.7756,0.7605826993658459,0.8361,35
36,0.8361,0.7756,0.7582915349941404,0.8361,35
37,0.8361,0.7756,0.7560043058074135,0.8361,35
38,0.8371,0.7762,0.7542950538529009,0.8371,38
39,0.8371,0.7762,0.7520715379188684,0.8371,38
40,0.8371,0.7762,0.7497387066521185,0.8371,38
41,0.8371,0.7762,0.748308486368127,0.8371,38
42,0.8371,0.7762,0.7469480948104157,0.8371,38
43,0.8371,0.7762,0.7438046031585194,0.8371,38
44,0.8382,0.7772,0.7430292825549815,0.8382,44
45,0.8382,0.7772,0.7411662092000647,0.8382,44
46,0.8382,0.7772,0.7396653972947839,0.8382,44
47,0.8382,0.7772,0.7383448449900755,0.8382,44
48,0.8382,0.7772,0.7370657692621512,0.8382,44
49,0.8382,0.7772,0.7345142838340658,0.8382,44
50,0.8382,0.7772,0.733697948020425,0.8382,44
51,0.8382,0.7772,0.7318882340967382,0.8382,44
52,0.8382,0.7772,0.7307158093581229,0.8382,44
53,0.8382,0.7772,0.7291496150135647,0.8382,44
54,0.8382,0.7772,0.7283461850763282,0.8382,44
