epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,0.91,0.6853321858441114,0.6852390739572523,0.5376026533817579,0.7426057674527246,0.7425960349979075,0.7251262786012516,0.09169770108193767,0.09044134571236007,0.10440081920550794
2,0.91,0.7038206740383669,0.7042125655335769,0.582260203671135,0.7470729642137637,0.7464111572862023,0.7269462476520453,0.08978373876639775,0.08857930679710543,0.10196185020767913
3,0.91,0.7121427785121813,0.7130291940101261,0.5972291589946164,0.7497883191077286,0.7495644726469357,0.7310922734041208,0.08856251957465192,0.08754012338360961,0.09890004779611315
4,0.91,0.7176060514852132,0.7185027627213598,0.6024804236517083,0.7510730031435829,0.7504987883093752,0.7334961897439392,0.08795665067677595,0.08697149400808374,0.0979176578777177
5,0.91,0.7207269374910095,0.7215914038869206,0.6113734961556018,0.7518613319837663,0.7518710644385833,0.7346640843219885,0.08752015491529387,0.08657472869571374,0.09707943654182005
6,0.91,0.7228230080165281,0.723566061252827,0.6184768259634927,0.7528637748299254,0.7532433405677914,0.7334475274698538,0.08724989392319504,0.08634708228768134,0.09637829098774463
7,0.91,0.7236050634332596,0.7242540759716959,0.6223467427484799,0.7533503975707793,0.7539246124049869,0.7344402378611957,0.08712571099096415,0.0862563041095831,0.09591635833589399
8,0.91,0.7243896506050441,0.72490577986994,0.6263900671438978,0.7535255817574867,0.753817555401999,0.7361336849993674,0.08705460325795777,0.08622673716472119,0.0954252219929987
9,0.91,0.7247661106849812,0.7252526739079639,0.6306472365414535,0.7540900641368773,0.7543820377813896,0.7343137159485738,0.08699794889104609,0.08620274766367308,0.09503828369233074
10,0.91,0.7242923261871339,0.7246179376207573,0.6318124744032028,0.7538954150405357,0.7543528404169384,0.735841711354855,0.08708568008578553,0.08633952496611343,0.0946301100205402
11,0.91,0.7240099669031462,0.7242796708601189,0.6344817713168197,0.7536618361249258,0.7540316694079747,0.7337881633884514,0.0871778414869795,0.08643521049192973,0.09468663940016105
12,0.91,0.723344824678635,0.723509705257259,0.6358009826933717,0.7537494282182795,0.7537980904923649,0.7339536151203419,0.08730841595299389,0.08658343705595756,0.09463872076297293
13,0.91,0.7227465664522204,0.7227412551606583,0.638171890882505,0.7532920028418768,0.7535061168478525,0.7364743209179652,0.08736226798928513,0.08669604802010011,0.09409846867225607
