epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,1.0,0.6880259424327029,0.6880259424327029,N/A,0.7432870392899201,0.7432870392899201,N/A,0.0902991132164488,0.0902991132164488,0.0
2,1.0,0.7062879054211386,0.7062879054211386,N/A,0.7460607889127875,0.7460607889127875,N/A,0.08843665828510207,0.08843665828510207,0.0
3,1.0,0.7145592206078153,0.7145592206078153,N/A,0.7489415955386427,0.7489415955386427,N/A,0.08750594787451686,0.08750594787451686,0.0
4,1.0,0.7195877620019807,0.7195877620019807,N/A,0.7510827355984,0.7510827355984,N/A,0.08687237954261351,0.08687237954261351,0.0
5,1.0,0.7222243367389195,0.7222243367389195,N/A,0.7520267837156566,0.7520267837156566,N/A,0.08656855626982085,0.08656855626982085,0.0
6,1.0,0.7239456631819183,0.7239456631819183,N/A,0.7530292265618157,0.7530292265618157,N/A,0.08637769459461679,0.08637769459461679,0.0
7,1.0,0.7246159529060753,0.7246159529060753,N/A,0.753184945838889,0.753184945838889,N/A,0.0863340316074235,0.0863340316074235,0.0
8,1.0,0.7246452393933639,0.7246452393933639,N/A,0.7535158493026696,0.7535158493026696,N/A,0.08638495921480413,0.08638495921480413,0.0
9,1.0,0.7246028355134431,0.7246028355134431,N/A,0.7535061168478525,0.7535061168478525,N/A,0.08645720627843118,0.08645720627843118,0.0
10,1.0,0.723658301963733,0.723658301963733,N/A,0.7527372529173033,0.7527372529173033,N/A,0.08656297411237444,0.08656297411237444,0.0
11,1.0,0.7228749645365871,0.7228749645365871,N/A,0.7527080555528521,0.7527080555528521,N/A,0.08675858986621,0.08675858986621,0.0
12,1.0,0.7217506574127238,0.7217506574127238,N/A,0.7518321346193151,0.7518321346193151,N/A,0.08689135449881456,0.08689135449881456,0.0
