epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,1.0,0.6896181464123479,0.6896181464123479,N/A,0.7435984778440666,0.7435984778440666,N/A,0.09019020382238895,0.09019020382238895,0.0
2,1.0,0.7074671119008789,0.7074671119008789,N/A,0.7463041002832145,0.7463041002832145,N/A,0.08832623916012901,0.08832623916012901,0.0
3,1.0,0.7157806881113684,0.7157806881113684,N/A,0.7495352752824845,0.7495352752824845,N/A,0.08735741963800119,0.08735741963800119,0.0
4,1.0,0.7204548424183586,0.7204548424183586,N/A,0.7511216654176683,0.7511216654176683,N/A,0.08679705675767392,0.08679705675767392,0.0
5,1.0,0.7227445186838078,0.7227445186838078,N/A,0.7522311652668152,0.7522311652668152,N/A,0.08651122177133755,0.08651122177133755,0.0
6,1.0,0.724086908956438,0.724086908956438,N/A,0.7527956476462058,0.7527956476462058,N/A,0.0863508338830909,0.0863508338830909,0.0
7,1.0,0.7246075623264819,0.7246075623264819,N/A,0.7529319020136449,0.7529319020136449,N/A,0.08630348072976482,0.08630348072976482,0.0
8,1.0,0.7243029300511817,0.7243029300511817,N/A,0.7529124371040108,0.7529124371040108,N/A,0.08638014766026517,0.08638014766026517,0.0
9,1.0,0.7241148742710343,0.7241148742710343,N/A,0.7528929721943766,0.7528929721943766,N/A,0.0864696847845097,0.0864696847845097,0.0
10,1.0,0.7226492883393933,0.7226492883393933,N/A,0.7517737398904125,0.7517737398904125,N/A,0.0866712001817567,0.0866712001817567,0.0
11,1.0,0.7217672373418418,0.7217672373418418,N/A,0.7516082881585222,0.7516082881585222,N/A,0.0868616513147646,0.0868616513147646,0.0
