epoch,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,train_bce_loss,train_im_loss,val_bce_loss,val_im_loss,train_encoder1_auc,train_encoder1_acc,val_encoder1_auc,val_encoder1_acc,train_encoder2_auc,train_encoder2_acc,val_encoder2_auc,val_encoder2_acc
1,0.585585,0.679413,0.734370,0.585585,0.674790,0.740241,0.563388,0.607782,0.563388,0.607782,0.679413,0.734370,0.674790,0.740241,0.585346,0.734370,0.585377,0.740241
2,0.580075,0.691623,0.734370,0.580075,0.685084,0.740241,0.554241,0.605910,0.554241,0.605910,0.691623,0.734370,0.685084,0.740241,0.590845,0.734370,0.590605,0.740241
3,0.577851,0.697182,0.734370,0.577851,0.689146,0.740241,0.551632,0.604070,0.551632,0.604070,0.697182,0.734370,0.689146,0.740241,0.594890,0.734370,0.594257,0.740241
4,0.576052,0.699616,0.734370,0.576052,0.688774,0.740241,0.549714,0.602391,0.549714,0.602391,0.699616,0.734370,0.688774,0.740241,0.596698,0.734370,0.595848,0.740241
5,0.574398,0.703564,0.734370,0.574398,0.689313,0.740241,0.547895,0.600902,0.547895,0.600902,0.703564,0.734370,0.689313,0.740241,0.597967,0.734370,0.596877,0.740241
6,0.572738,0.705757,0.734370,0.572738,0.687447,0.740241,0.545963,0.599513,0.545963,0.599513,0.705757,0.734370,0.687447,0.740241,0.599047,0.734370,0.597652,0.740241
7,0.571166,0.708437,0.734370,0.571166,0.685899,0.740241,0.544122,0.598211,0.544122,0.598211,0.708437,0.734370,0.685899,0.740241,0.599598,0.734370,0.598102,0.740241
8,0.569950,0.710040,0.734370,0.569950,0.684838,0.740241,0.542825,0.597076,0.542825,0.597076,0.710040,0.734370,0.684838,0.740241,0.598850,0.734370,0.597007,0.740241
9,0.569087,0.711146,0.734370,0.569087,0.682152,0.740241,0.542012,0.596163,0.542012,0.596163,0.711146,0.734370,0.682152,0.740241,0.596797,0.734370,0.594521,0.740241
10,0.567701,0.711511,0.734370,0.567701,0.679348,0.740241,0.540049,0.595353,0.540049,0.595353,0.711511,0.734370,0.679348,0.740241,0.597800,0.734370,0.594561,0.740241
11,0.566634,0.712064,0.734370,0.566634,0.678023,0.740241,0.538695,0.594573,0.538695,0.594573,0.712064,0.734370,0.678023,0.740241,0.592502,0.734370,0.588272,0.740241
12,0.565996,0.712582,0.734370,0.565996,0.676606,0.740241,0.538108,0.593883,0.538108,0.593883,0.712582,0.734370,0.676606,0.740241,0.591926,0.734370,0.586886,0.740241
13,0.565469,0.710814,0.734370,0.565469,0.674135,0.740241,0.537705,0.593233,0.537705,0.593233,0.710814,0.734370,0.674135,0.740241,0.593211,0.734370,0.588297,0.740241
14,0.564687,0.714382,0.734370,0.564687,0.676672,0.740241,0.536748,0.592627,0.536748,0.592627,0.714382,0.734370,0.676672,0.740241,0.589787,0.734370,0.582681,0.740241
15,0.563660,0.714768,0.734370,0.563660,0.674981,0.740241,0.535258,0.592062,0.535258,0.592062,0.714768,0.734370,0.674981,0.740241,0.589135,0.734370,0.581656,0.740241
