epoch,train_loss,valid_auc,valid_acc,l_sup,l_ref,l_initmastery,l_rate,l_rasch,l_gap,l_student
1,0.9999601115303168,0.7626250268556924,0.741751064836725,0.5826343724693744,0.024314006984544296,0.012413749923196235,0.18417320935243842,0.0014110454262663552,12416.584899902344,11981.509342193604
2,0.954324254133804,0.7848936498515131,0.7587127307146238,0.5401602135905553,0.022760674784270424,0.012276978811158133,0.18341952304657597,0.006145702214174283,12404.652414957682,11969.792892456055
3,0.9386389411064359,0.8021784362195512,0.7653573118788453,0.5223430521962735,0.025718570065995056,0.012143522547880793,0.18268592526554575,0.01607195896212943,12392.127446492514,11957.521901448568
4,0.926499910244376,0.8109200523045322,0.7677993374349267,0.5069854037794493,0.029571089389113087,0.012013388263421932,0.18202722352229625,0.03348366272985004,12379.188837687174,11944.819226582846
5,0.9182861188399788,0.8136317472612108,0.7689919545669665,0.4967616772122274,0.032361702139799796,0.011885687738104965,0.18142729973016183,0.05909532339622577,12366.071706136068,11931.935921986898
6,0.9134154857128752,0.8153003256714163,0.7707903454803596,0.49113054941766515,0.03406343120150268,0.011760232291418796,0.18086024984901525,0.0928249930148013,12352.867970784506,11918.96456782023
7,0.9091872301683002,0.8170175780555063,0.7728159015617605,0.4871919358056029,0.03485049594504138,0.011636845109532388,0.18031500335378334,0.134934076127441,12339.607879638672,11905.954664866129
8,0.905522372385397,0.8177946473272418,0.7721154756270705,0.48393167930673364,0.035525379974084594,0.01151545723545744,0.17978237290809163,0.18678521925661093,12326.316538492838,11892.912790934244
9,0.9026970864827413,0.8195600232474667,0.77309985802177,0.4815588985647627,0.03614762347812454,0.011395878903787944,0.1792578629950569,0.24858970761609575,12313.005676269531,11879.853159586588
10,0.9003158486245155,0.8200444793389954,0.7738381448177946,0.48030849098338485,0.03617959714028984,0.011277949392808585,0.1787398629724178,0.3223680928349495,12299.675440470377,11866.782333374023
