experiment_id,experiment_dir,dataset,fold,intrinsic_gain_attention,best_epoch,best_val_auc,best_val_accuracy,train_loss,train_auc,mastery_correlation,gain_correlation,monotonicity_violation_rate,negative_gain_rate,bounds_violation_rate
unknown,20251102_083238_gainakt2exp_baseline,unknown,unknown,False,3,0.7257377349250834,0.7534769194834013,0.507576567521367,0.7368756253630886,0.10984524729117279,0.01811547533565849,0.0,0.0,0.0
unknown,20251102_085957_gainakt2exp_baseline_relaunch,unknown,unknown,False,3,0.7257377349250834,0.7534769194834013,0.507576567521367,0.7368756253630886,0.10984524729117279,0.01811547533565849,0.0,0.0,0.0
415053,20251102_215832_gainakt2exp_baseline_explicit_415053,assist2015,0,False,3,0.7255450151393238,0.753691033489377,0.5071081068231652,0.7369002781529885,0.08439353561851166,0.027857289616020076,0.0,0.0,0.0
415053,20251102_223338_gainakt2exp_baseline_explicit_415053_repro,assist2015,0,False,3,0.7255450151393238,0.753691033489377,0.5071081068231652,0.7369002781529885,0.08439353561851166,0.027857289616020076,0.0,0.0,0.0
164532,20251107_014219_gainakt2exp_phase1_legacy_v2_164532,assist2015,0,False,3,0.7255450151393238,0.753691033489377,0.5071081068231652,0.7369002781529885,0.08439353561851166,0.027857289616020076,0.0,0.0,0.0
unknown,20251107_020129_gainakt2exp_manual,unknown,unknown,False,2,0.719725298690077,0.7519391916223029,0.5178480900322218,0.7180714106075355,0.0,0.0,0.0,0.0,0.0
328607,20251107_020451_gainakt2exp_phase1_legacy_328607,assist2015,0,False,3,0.7255450151393238,0.753691033489377,0.5071081068231652,0.7369002781529885,0.08439353561851166,0.027857289616020076,0.0,0.0,0.0
