epoch,train_loss,valid_auc,valid_acc,l_sup,l_ref,l_initmastery,l_rate
1,0.8431661173052397,0.7487611047941751,0.7303549455750118,0.5882712370605323,0.02093996633387481,0.016179897254439694,0.030677197275248442
2,0.7163411402841949,0.7568638729048276,0.7312446758163749,0.5597174968160725,0.014289752095161626,0.00453593269209877,0.004502192922961639
3,0.6922677603659345,0.7578917512239846,0.7347468054898249,0.5568267033424115,0.012703039101324975,0.0019387359108126291,0.0026946842970158535
4,0.676063156624537,0.759370719184986,0.7354093705631803,0.5557333247157524,0.011400085738083968,0.00114064821696794,0.0017450128217035073
5,0.6672714589886333,0.7592843744799584,0.736147657359205,0.5546032874768135,0.010727835275853673,0.0008341273313510782,0.001196166070235606
6,0.6612571392177998,0.7589053118619332,0.735712257453857,0.5539732411635561,0.010243761256181946,0.000671624702424343,0.0008981572172868674
7,0.6572108523909873,0.759411412992697,0.7336677709417889,0.5534324702330385,0.009928296902216971,0.00056483316511402,0.0007142541084484269
8,0.653234329200475,0.7593182945172507,0.7326455276857549,0.5532913501329053,0.009574283535281817,0.00048582658779446774,0.0005880998288024178
9,0.6495511000629297,0.7586100425636582,0.7327212494084241,0.5527776827643855,0.009279490894793222,0.0004319350874155295,0.000496283268122164
10,0.6468112699145484,0.7588080024999292,0.7318125887363938,0.5528344572182324,0.009018293931148946,0.0003872964972320013,0.0004303195181668041
11,0.6442648165017221,0.7591032418745498,0.7328348319924278,0.5523186563075687,0.008828800928313285,0.00035562597139445254,0.00037572415178953555
12,0.641507636449574,0.7587677142364829,0.7313014671083767,0.5525381770057098,0.008546295546693727,0.00032748473335838586,0.0003426133928389749
13,0.6386944270126181,0.7587163030356773,0.7294652153336488,0.551896632825088,0.008340614809033772,0.000305747099869021,0.0003124195859482848
14,0.636850824635664,0.7589395657842124,0.7291812588736394,0.5517032854486789,0.00818493171633842,0.00028551426577945785,0.00028751371916227057
15,0.6343174947205067,0.7575197450761666,0.7281022243256035,0.5518545482411029,0.007928185475369295,0.0002708693526195915,0.00026564539873501545
16,0.63303861541373,0.758422892153839,0.7300331282536677,0.551915999952239,0.007801137340720743,0.00025648538223327713,0.00025171796792414577
17,0.630529365062872,0.7571001067701191,0.7269853289162328,0.5515601457600132,0.007594887215721731,0.00024488226103346636,0.00024010401964968598
