epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,0.9,0.6719638450304628,0.6730634759784573,0.5929920234420369,0.7426154999075417,0.7427517542749807,0.7181286435877722,0.09291886751140867,0.09148952395332102,0.10578299009678316
2,0.9,0.6927686255534572,0.6939566176838197,0.6093195423199669,0.745136205705165,0.7454476442593115,0.7179145295817965,0.09101527564379634,0.0896015421164279,0.10373890080622264
3,0.9,0.6994839209810455,0.7007037680529911,0.6208164745269258,0.7464306221958364,0.7471605563071173,0.7186833935123457,0.09025503071595212,0.08894265884039354,0.10206639766693115
4,0.9,0.7028855221940732,0.7040752714545601,0.6305863884602096,0.7469853721204099,0.7477445035961421,0.7281628045041801,0.08974514567122167,0.08856659063271113,0.1003521629134003
5,0.9,0.7051090316976077,0.7060406222376585,0.6378652477843374,0.747238415945654,0.748104604424374,0.7322990978014384,0.08912887104919978,0.08827586639292385,0.09680593287458225
6,0.9,0.7065861621268743,0.707418861265296,0.6406048094597305,0.7475109246805322,0.7484355078881546,0.7336908388402806,0.08882407114213826,0.08813787662253088,0.09499984508266254
7,0.9,0.7073145935479453,0.7079743037921139,0.6454783298097382,0.748737213987484,0.7495644726469357,0.7351020447887571,0.08864963449993912,0.08805865611957044,0.09396845862573507
8,0.9,0.7084657504772466,0.7092354717469018,0.6474676653944049,0.7493990209150454,0.7499051085655335,0.733982812484793,0.08855615586650614,0.08789205809636992,0.09453305404405205
9,0.9,0.70983931860277,0.7105872814094041,0.6492294373571312,0.7500218980233384,0.7507712970442535,0.7338660230269881,0.08838727750948497,0.08773770502635411,0.09423345251350987
10,0.9,0.7102778782327149,0.711076574908169,0.6496506426793331,0.7504403935804728,0.7511119329628512,0.7340217423040614,0.08841354187045779,0.08777962625026703,0.09411880419570573
11,0.9,0.7105596877669916,0.7112177480231165,0.6517866501075749,0.75021654711968,0.7510827355984,0.7351312421532084,0.08825473289708702,0.08766133262186634,0.09359536091892087
12,0.9,0.7115071345960837,0.7119395602803292,0.6534778543550552,0.7501386874811433,0.7511995250562049,0.7373599743063193,0.08804252530847277,0.087514017461514,0.09279911493768497
