epoch,phase,lambda_bce,epsilon,val_bce_auc,val_bce_acc,val_total_loss,val_bce_loss,val_rasch_loss,train_total_loss,train_bce_loss,train_rasch_loss
1,1,0.5,0.0,0.6871410761846155,0.7432091796513834,0.0903287754983318,0.0903287754983318,0.0,0.10837605280965722,0.10837605280965722,0.0
2,1,0.5,0.0,0.7062086670790676,0.7467225958403488,0.08840539412839073,0.08840539412839073,0.0,0.09348020283746596,0.09348020283746596,0.0
3,1,0.5,0.0,0.7150412927303368,0.7491265121801672,0.08743269528661456,0.08743269528661456,0.0,0.0918147438085141,0.0918147438085141,0.0
4,1,0.5,0.0,0.7200943413360784,0.7513065820591928,0.08683188898222786,0.08683188898222786,0.0,0.09079639891577508,0.09079639891577508,0.0
5,1,0.5,0.0,0.7225486467041414,0.7521727705379128,0.08652229546284189,0.08652229546284189,0.0,0.08997990229586864,0.08997990229586864,0.0
6,1,0.5,0.0,0.7240952458418393,0.7531265511099865,0.08633231797388621,0.08633231797388621,0.0,0.08935332329162045,0.08935332329162045,0.0
7,1,0.5,0.0,0.7250011225288115,0.7539538097694382,0.08623146448208362,0.08623146448208362,0.0,0.08879179372379817,0.08879179372379817,0.0
8,1,0.5,0.0,0.7254418858373691,0.7542068535946822,0.08619941847056758,0.08619941847056758,0.0,0.08826820957691559,0.08826820957691559,0.0
9,1,0.5,0.0,0.7250746848036387,0.7542749807784017,0.08626910375089061,0.08626910375089061,0.0,0.08779631555080414,0.08779631555080414,0.0
10,1,0.5,0.0,0.7247658262042841,0.7534671870285842,0.08635734295358463,0.08635734295358463,0.0,0.08727797842705189,0.08727797842705189,0.0
11,1,0.5,0.0,0.7239878865212754,0.753068156381084,0.08646216380352877,0.08646216380352877,0.0,0.08680359501912804,0.08680359501912804,0.0
12,1,0.5,0.0,0.7230408672752918,0.7524939415468763,0.08659454146210029,0.08659454146210029,0.0,0.08629826871301843,0.08629826871301843,0.0
