epoch,theta_global,beta_skill_mean,beta_skill_std,beta_skill_min,beta_skill_max,M_sat_mean,M_sat_std,M_sat_min,M_sat_max,gamma_student_mean,gamma_student_std,gamma_student_min,gamma_student_max,offset
1,0.567927,2.468607,0.004485,2.466412,2.498165,0.716581,0.011282,0.680204,0.730213,1.066648,0.000000,1.066648,1.066648,1.467038
2,0.535637,2.438039,0.009644,2.433190,2.500597,0.732761,0.022423,0.662490,0.760838,1.033858,0.000000,1.033858,1.033858,1.432779
3,0.503500,2.408161,0.015388,2.400131,2.506007,0.748588,0.033502,0.645318,0.791213,1.001599,0.000000,1.001599,1.001599,1.397666
4,0.471563,2.378929,0.021652,2.367266,2.513752,0.764049,0.044508,0.628564,0.821327,0.969848,0.000000,0.969848,0.969848,1.361852
5,0.439831,2.350306,0.028370,2.334579,2.523293,0.779144,0.055438,0.612181,0.851185,0.938585,0.000000,0.938585,0.938585,1.325460
6,0.408303,2.322251,0.035482,2.302061,2.534179,0.793876,0.066295,0.596143,0.880789,0.907791,0.000000,0.907791,0.907791,1.288601
7,0.376970,2.294722,0.042925,2.269696,2.546031,0.808251,0.077080,0.580432,0.910146,0.877452,0.000000,0.877452,0.877452,1.251372
8,0.345822,2.267678,0.050643,2.237475,2.558533,0.822275,0.087796,0.565033,0.939262,0.847551,0.000000,0.847551,0.847551,1.213863
9,0.314850,2.241077,0.058578,2.205390,2.571419,0.835956,0.098448,0.549595,0.968143,0.818078,0.000000,0.818078,0.818078,1.176157
