epoch,valid_auc,valid_acc,train_loss,best_auc_so_far,best_epoch_so_far,mastery_corr,gain_corr,mastery_ci_low,mastery_ci_high,gain_ci_low,gain_ci_high,mean_mastery_variance,min_mastery_variance,max_mastery_variance,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share,seed
4,0.7066029617588339,0.747364937858276,0.511742,0.7066029617588339,4,-0.0000035003264071535463,0.104145730724696,-0.34331208526307544,0.3433059097137945,-0.248031423560391,0.4320086201227339,0.016632,0.015312,0.018281,-0.033824,-0.099477,0.0,0.0,42
5,0.7087295387135396,0.7478515605991299,0.498243,0.7087295387135396,5,-0.0009532887574550204,0.09378940116854229,-0.344149655494868,0.342467789060609,-0.25782111266120894,0.42346340823847683,0.016518,0.015138,0.017731,-0.054564,-0.137113,0.0,0.0,42
6,0.7106919274491366,0.7485522973459595,0.510954,0.7106919274491366,6,-0.0009170381096568758,0.10363665296421037,-0.3441176979103854,0.34249978771138884,-0.24851433429913425,0.43158994127069,0.015717,0.014206,0.017426,-0.028604,-0.122886,0.0,0.0,42
7,0.7137504855814567,0.7496812621047407,0.500967,0.7137504855814567,7,0.0019930678476508383,0.08998758557405713,-0.34154963092389595,0.34506595805531337,-0.2613968892075182,0.4203116645695905,0.014656,0.013565,0.016205,-0.041764,-0.152321,0.0,0.0,42
8,0.7148876162577167,0.7499440383848018,0.500375,0.7148876162577167,8,0.007311121258527546,0.08812713829902456,-0.3368433441722598,0.3497422748351849,-0.2631432149270884,0.4187664248192683,0.014323,0.013458,0.015480,-0.039091,-0.164842,0.0,0.0,42
9,0.715548462454245,0.7498564462914481,0.500582,0.715548462454245,9,0.009945871624266495,0.08899746398742311,-0.3345052966175885,0.3520527823500405,-0.2623265622647807,0.4194895334268154,0.014152,0.013382,0.015060,-0.036822,-0.162300,0.0,0.0,42
10,0.7162694010724681,0.7501581523907775,0.506255,0.7162694010724681,10,0.01099086860391615,0.0907813233480012,-0.33357680225520764,0.35296802452658443,-0.2606511393102562,0.4209703402263759,0.013940,0.013229,0.014717,-0.024173,-0.148143,0.0,0.000022,42
11,0.7169149870347492,0.7509659461405951,0.520297,0.7169149870347492,11,0.012778171985875286,0.0880501046628065,-0.3319872073767857,0.35453188722140216,-0.26321547365345427,0.4187024013491064,0.013784,0.013168,0.014381,0.004393,-0.112294,-0.003737,0.000032,42
12,0.7160252092458975,0.7507031698605339,0.524365,0.7169149870347492,11,0.01336956075118627,0.09265950610448238,-0.3314608055433637,0.35504892256673065,-0.25888483604223045,0.4225275465105733,0.013813,0.013123,0.014496,0.009955,-0.104955,-0.004007,0.000017,42
13,0.7179278599907288,0.7512871171495586,0.534854,0.7179278599907288,13,0.016877866579266904,0.08579293190283493,-0.3283336020045333,0.35811184818944086,-0.26533098798203547,0.4168249808874698,0.013783,0.013161,0.014412,0.032072,-0.079466,-0.004444,0.000022,42
14,0.7190229409716938,0.7512968496043757,0.532424,0.7190229409716938,14,0.01734122512896703,0.08194398602045952,-0.32792001090213946,0.3585158349456922,-0.2689305959591571,0.413617063732308,0.013573,0.012680,0.014519,0.031833,-0.079651,-0.004834,0.000017,42
15,0.7199042530583437,0.7517737398904125,0.532220,0.7199042530583437,15,0.017938504197697876,0.0793373010555555,-0.3273866878072714,0.35903639404703136,-0.2713628635447412,0.4114398258993401,0.012964,0.012306,0.013779,0.034124,-0.076986,-0.005143,0.000004,42
16,0.720307993975078,0.7519878538963883,0.530167,0.720307993975078,16,0.019664881679716424,0.08170313971441698,-0.32584393081517526,0.3605398276309654,-0.26915551465823734,0.41341605539847837,0.012891,0.012321,0.013504,0.032391,-0.078863,-0.005415,0.000009,42
17,0.7205886796258733,0.7521630380830957,0.527859,0.7205886796258733,17,0.021847066468135324,0.08140793085066275,-0.3238912104849559,0.36243767466653504,-0.2694311486256541,0.41316963241490084,0.012836,0.012352,0.013634,0.029428,-0.082150,-0.005630,0.000019,42
18,0.7208074679419441,0.7521338407186444,0.527937,0.7208074679419441,18,0.02257241709672529,0.086083635042807,-0.32324148008553216,0.36306788756630726,-0.2650587186885155,0.4170669339673668,0.012812,0.012321,0.013504,0.030519,-0.080871,-0.005816,0.000013,42
19,0.7210080445673224,0.7525328713661447,0.526187,0.7210080445673224,19,0.024002897930166016,0.08311666140733955,-0.32195917543701447,0.3643098327324477,-0.267834924695701,0.41459530714082077,0.012775,0.012329,0.013435,0.027913,-0.083712,-0.005995,0.000022,42
20,0.7190625118672169,0.7517542749807784,0.528770,0.7210080445673224,19,0.026284381933899228,0.07666454105425116,-0.31991138869968744,0.366288118222349,-0.27385214261182905,0.4092034563179834,0.012735,0.012245,0.013245,0.030061,-0.081023,-0.005720,0.000018,42
1,0.6801332619407472,0.7418271710673583,0.595321,0.6801332619407472,1,0.050602682772115354,0.11668574726351784,-0.2978812132907524,0.3871853582685666,-0.23608046040587555,0.4422774349386511,0.029525,0.021942,0.035431,0.062912,-0.006745,0.0,0.0,63
2,0.697576004757128,0.7456130959912018,0.534893,0.697576004757128,2,0.01775881236605094,0.10869255541254202,-0.3275471615823363,0.35887980578787904,-0.2437105328397324,0.43574179037663285,0.018598,0.016296,0.025681,-0.000421,-0.037622,0.0,0.0,63
3,0.6994500318177497,0.7460607889127875,0.521912,0.6994500318177497,3,0.010622253636106964,0.0868144747420573,-0.33390439811610934,0.3526452543021908,-0.2643739750098983,0.41767500684958747,0.017274,0.016006,0.018372,-0.015884,-0.067189,0.0,0.0,63
4,0.7049672164690866,0.7474136001323614,0.511979,0.7049672164690866,4,0.007997737180593658,0.0733301131160911,-0.33623445762607534,0.3503447946744498,-0.2769510971228067,0.4064078389347577,0.016682,0.015327,0.018295,-0.033603,-0.099054,0.0,0.0,63
5,0.7079822712220643,0.7479294202376665,0.498318,0.7079822712220643,5,0.006615229643475379,0.06860447087245346,-0.3374601627778454,0.3491313262023394,-0.2813305740002891,0.40243510268251576,0.016567,0.015137,0.017731,-0.054420,-0.136764,0.0,0.0,63
6,0.710780508334346,0.7494574156439479,0.489708,0.710780508334346,6,0.007221609580253981,0.060561540740097446,-0.33692270134490343,0.3496637055868625,-0.2887509711242226,0.39564456475253457,0.015720,0.014206,0.017426,-0.072371,-0.170609,0.0,0.0,63
7,0.7137685802779232,0.7499537708396189,0.499823,0.7137685802779232,7,0.009430971453847008,0.06037544015932781,-0.3349625467890762,0.35160157539075987,-0.28892217195795616,0.39548700765844474,0.014658,0.013565,0.016205,-0.043667,-0.154429,0.0,0.0,63
8,0.7151066257544508,0.7502944067582166,0.504993,0.7151066257544508,8,0.014426819027298964,0.061827454372893824,-0.3305191926888204,0.35597273454817163,-0.28758581706219194,0.3967157936196991,0.014325,0.013458,0.015480,-0.029022,-0.153399,0.0,0.0,63
9,0.7161201959960182,0.7506058453123632,0.511360,0.7161201959960182,9,0.016012733579739792,0.05817218807956906,-0.3291054604658808,0.35735722565140887,-0.29094732886730057,0.3936201828969532,0.014153,0.013382,0.015060,-0.014530,-0.136995,0.0,0.0,63
10,0.7167475527800486,0.7514136390621806,0.525039,0.7167475527800486,10,0.017838689515600574,0.05609244314916946,-0.32747582976017625,0.3589494152391243,-0.29285609602310775,0.39185546412761996,0.013941,0.013229,0.014717,0.013152,-0.105837,0.0,0.000015,63
11,0.7174307690115211,0.7512384548754732,0.534889,0.7174307690115211,11,0.017205744626983585,0.05232903575923105,-0.3280409536904228,0.35839772726453845,-0.29630305464546747,0.38865582024451806,0.013784,0.013168,0.014381,0.032865,-0.079948,-0.003746,0.000023,63
12,0.7178125940772124,0.7510827355984,0.532245,0.7178125940772124,12,0.016885129075297392,0.05167897724762398,-0.32832712056446184,0.3581181811015487,-0.2968975340969854,0.38810231856421307,0.013814,0.013123,0.014496,0.029460,-0.083373,-0.004250,0.000036,63
13,0.7182641304604143,0.751335779423644,0.534655,0.7182641304604143,13,0.01744361255248039,0.05493917966142859,-0.3278286026358542,0.35860508586632056,-0.29391335125897483,0.39087582341708105,0.013783,0.013161,0.014412,0.034719,-0.077286,-0.004544,0.000013,63
14,0.7166994176608701,0.7509367487761438,0.532178,0.7182641304604143,13,0.013425772829575515,0.05527056955886716,-0.33141075936052,0.3550980564040244,-0.29360963667997125,0.39115740081243067,0.013573,0.012680,0.014519,0.027910,-0.084176,-0.004584,0.000045,63
15,0.7186086161415057,0.751958656531937,0.531674,0.7186086161415057,15,0.014844584209956806,0.050264711764029205,-0.33014693427745023,0.35633758583086955,-0.2981899492408259,0.386897282914899,0.013086,0.012451,0.014061,0.029361,-0.082100,-0.004919,0.000032,63
16,0.7194634106863196,0.7521630380830957,0.533551,0.7194634106863196,16,0.014930484911386004,0.05237059657466421,-0.33007037735564393,0.35641259349252774,-0.296265038029812,0.388691199545289,0.012954,0.012306,0.013779,0.035644,-0.074910,-0.005281,0.0,63
17,0.7200843081575502,0.7521241082638274,0.529924,0.7200843081575502,17,0.01514503624844571,0.04635120697716501,-0.32987914384112266,0.3565999184207132,-0.3017596270040731,0.3835567478678027,0.012907,0.012352,0.013634,0.031410,-0.079643,-0.005552,0.000014,63
18,0.7205905337996295,0.7519878538963883,0.529354,0.7205905337996295,18,0.016113267563727794,0.05137557557304962,-0.3290157892547,0.3574449405054056,-0.2971749029158963,0.38784389974373557,0.012835,0.012321,0.013504,0.031875,-0.079108,-0.005761,0.000010,63
19,0.7209833846474935,0.7519683889867541,0.523603,0.7209833846474935,19,0.016897108365416157,0.05168323113416796,-0.3283164295339163,0.35812862699960657,-0.29689364478964736,0.38810594138620796,0.012814,0.012329,0.013435,0.022120,-0.089983,-0.005978,0.000048,63
20,0.7211277067544007,0.7523479547246202,0.528029,0.7211277067544007,20,0.017333301288349378,0.05152959156699562,-0.3279270847879167,0.35850892748899504,-0.2970341093488759,0.38797508767226985,0.012712,0.012245,0.013245,0.031028,-0.079975,-0.006074,0.000010,63
summary_dataset,assist2015
summary_model,gainakt2exp
summary_experiment,remediate_multi_seed_partial
summary_seeds,21|42|63
summary_epochs,20
summary_batch_size,64
summary_learning_rate,0.00016
summary_best_auc_max,0.7211277067544007
summary_best_auc_mean,0.7209505567244552
summary_best_auc_min,0.7207159188516422
summary_best_auc_std,0.00017295656154598597
summary_final_val_accuracy_mean,0.7523479547246201
summary_mastery_corr_mean,-0.001871014670245875
summary_gain_corr_mean,0.06173074832255116
summary_mastery_corr_std,0.0007316081304405976
summary_gain_corr_std,0.0041797471213200835
summary_gain_corr_max,0.06627138773300296
summary_gain_corr_min,0.05618287246899398
summary_config_md5,83f844f9446d3fab89eaa4dc0fe874e2
summary_monotonicity_violation_rate_final_mean,0.0
summary_negative_gain_rate_final_mean,0.0
summary_alignment_enabled,True
summary_global_alignment_enabled,True
summary_retention_enabled,True
summary_lag_enabled,True
summary_alignment_weight,0.30
summary_retention_weight,0.12
summary_lag_gain_weight,0.05
summary_mastery_performance_loss_weight,0.8
summary_gain_performance_loss_weight,0.8
summary_consistency_loss_weight,0.3
summary_sparsity_loss_weight,0.2
summary_alignment_share_cap,0.10
summary_alignment_share_decay_factor,0.75
summary_alignment_warmup_epochs,8
summary_devices,0|1|2|3|4
