lambda,test_auc,valid_auc,exp_id,dir,probe_pearson,probe_selectivity,init_corr,rate_corr,h2_functional,fidelity
0.0,0.8206932649051046,0.8312390163600373,673874,20251231_000314_idkt_assist2009_S_hr_sweep_l0.0_673874,0.43473554396060676,-0.1185226012918621,-0.1694268005582643,0.008177094533210132,0.24923417166763978,0.0293281552141952
0.1,0.8255301408414961,0.8332175586630471,704357,20251231_000317_idkt_assist2009_S_hr_sweep_l0.1_704357,-0.014215290888314974,-5544.588790489014,0.5601360096153681,0.3172413203677809,0.2762862003520247,0.38455451011172465
0.2,0.8109985625498445,0.8167467240116516,540486,20251231_000319_idkt_assist2009_S_hr_sweep_l0.2_540486,0.002374347280017417,42049.87204212224,0.6348551480332931,0.36351143696869526,0.2827171306779739,0.42702790522665407
0.3,0.796268676082782,0.8002486028032096,198776,20251231_000321_idkt_assist2009_S_hr_sweep_l0.3_198776,0.7125008194196599,2.3715426000481554,0.7102632129891633,0.43488830986237975,0.29192211220525477,0.47902454501893255
0.4,0.7823912593124525,0.7884685850738109,505982,20251231_000323_idkt_assist2009_S_hr_sweep_l0.4_505982,0.0791615057897568,28114.892550818724,0.35695417090860676,0.19703200269868437,0.26801587426647266,0.27400068262458793
0.5,0.7760433174745098,0.7802889782137661,370532,20251231_000325_idkt_assist2009_S_hr_sweep_l0.5_370532,0.05059994877999884,2966.4713767086914,0.6127054965045531,0.34226826400650795,0.2825801801036817,0.4125179802049142
0.6,0.7691864642055524,0.7730956072761306,215566,20251231_000327_idkt_assist2009_S_hr_sweep_l0.6_215566,-0.054024096672269206,9313.901854976051,0.5217168824399323,0.27839330328892914,0.276085146002968,0.3587317772439432
0.7,0.7628859722457297,0.7671636905152295,798538,20251231_000329_idkt_assist2009_S_hr_sweep_l0.7_798538,0.8036634527886557,19.068531621921444,0.36673265919558695,0.19922378775537894,0.2684376600430762,0.27813136899801405
0.8,0.7552216335235469,0.7604498476437014,169230,20251231_000331_idkt_assist2009_S_hr_sweep_l0.8_169230,0.6731013964280137,2.954723150999136,-0.08000174078039676,0.03863128087141886,0.2537064488253218,0.07077866297211462
1.0,0.7500611269855486,0.7554595268215112,291039,20251231_000333_idkt_assist2009_S_hr_sweep_l1.0_291039,0.014155538842128793,3301309.3661854034,-0.07847216256664986,0.03895876632989888,0.2537481508228351,0.07141158486202803
