epoch,train_loss,valid_auc,valid_acc,l_sup,l_ref,l_initmastery,l_rate
1,0.5677907403904429,0.7085439218319753,0.7486301569844962,0.5373598676627424,0.013974484345764693,0.005479616264129125,0.008555326560617733
2,0.5386727584592911,0.7181156475462189,0.7526593932787667,0.5233889091723106,0.01274884111909051,0.0006062526634060956,0.0007283638186097258
3,0.5345346210587598,0.7218713013660871,0.7532336081129744,0.5195441606258521,0.012912116819326741,0.000418938168210721,0.0004986806327791205
4,0.5323141723762826,0.7246710845262792,0.7545280246036458,0.5174164855545079,0.013029341508726073,0.00032978596214379766,0.00039418647810825794
5,0.5306136071883207,0.7257362694184616,0.7545961517873653,0.515707220755174,0.013159921445878985,0.0002750734707415482,0.00033268591699536814
6,0.5296312942102052,0.7268493648009083,0.7552774236245609,0.5146513877142697,0.013302111033099303,0.0002415461707745288,0.0002961652222697526
7,0.5286232013878951,0.7271786816264006,0.755540199904622,0.5136805623545677,0.013325225354360483,0.0002160217224961598,0.0002669232416222161
8,0.5279184999673695,0.7280259296741747,0.755423410446817,0.5129635099616441,0.013379872240936818,0.00019660895098216283,0.00024542479913010253
9,0.5270296831565013,0.7285256694026615,0.7549951824348655,0.5120858036724705,0.013401095538250522,0.00018321766919138224,0.00022847657396842002
10,0.5264953184015514,0.7292086174094767,0.7555791297238903,0.5115484445588907,0.013435037521925305,0.00016835507887398254,0.00021441433955937003
11,0.5258575174829863,0.7294227720152826,0.7557056516365123,0.5108205676890528,0.01354096923506013,0.00015843318226425036,0.00020281979905411806
12,0.5251581030612644,0.7300932223294088,0.7558711033684026,0.5100803474265696,0.013599022474969916,0.00014983707014177387,0.00019185690131421135
13,0.5249385826851539,0.7298824556300876,0.7557737788202318,0.5098676235535496,0.013609884383996533,0.0001416660907750871,0.0001841074852304383
14,0.5240848057969626,0.7299350813571197,0.7553163534438292,0.5089606630465991,0.013673081139942216,0.0001354275037808529,0.00017708488984675467
15,0.5236646279113116,0.7306619763361222,0.7557543139105977,0.5084722599356372,0.01374869655644029,0.00013013665938255763,0.0001703504713366664
16,0.5231198985343624,0.7302216213989898,0.7555985946335244,0.5079130405712378,0.013774138716063969,0.00012469317610618133,0.00016442924142215742
17,0.5224487271462545,0.7305391218076445,0.7558321735491343,0.5071770121146487,0.013845799399124835,0.00011938337444285237,0.0001587745440542828
18,0.5220051076832692,0.7304962149757034,0.7554039455371828,0.5066505377284368,0.013931863835091108,0.0001151016668993554,0.0001542122781069095
19,0.5216154954810345,0.7306698208605591,0.7555207349949877,0.5062048400740727,0.013991060343431068,0.00011225402970918883,0.0001498650547583302
20,0.5211895540902708,0.7309406772722351,0.7549465201607801,0.5057154476994324,0.014059348586811612,0.0001080694823214084,0.0001449137884606022
21,0.5207862269272562,0.7308222301009828,0.7554720727209024,0.5052689073515841,0.01410627965887748,0.00010463863273375059,0.00014198654765903269
22,0.5203259380261361,0.7306814926971636,0.7553455508082804,0.5047976094640124,0.014123387779519348,0.00010190954849416736,0.00013790772371281902
23,0.5199160526829372,0.7307507079591555,0.7553942130823658,0.5043315441516717,0.014182466878483332,9.860706240814347e-05,0.00013457969001902248
24,0.5195282189576698,0.7308552448863782,0.7556083270883415,0.503857397625037,0.014268393387023959,9.591442412770255e-05,0.0001315275176742469
25,0.5190898527011651,0.730659558373348,0.7557153840913293,0.5033170186460697,0.014367976100449426,9.414768017389964e-05,0.00012801414437507204
26,0.5186586779070512,0.730643847157147,0.7553747481727316,0.5028285119419211,0.014425575067265045,9.205130634571138e-05,0.0001258479995496946
27,0.518191743877704,0.7308247352552435,0.7555791297238903,0.502268019233865,0.014516573886681407,9.021172400006055e-05,0.00012340792632758852
28,0.5179677110888636,0.7301860248589037,0.7557348490009635,0.5019965828957554,0.014566161192065694,8.762919563335728e-05,0.00012058587364079045
29,0.5175129133589387,0.7303875401474307,0.7557251165461464,0.5015156301842644,0.014594703854828918,8.607048488529128e-05,0.00011777365771562369
30,0.5170473260904547,0.7300552304864826,0.7557348490009635,0.5009606559939753,0.01468170735348074,8.420837557906263e-05,0.00011553979316781537
