epoch,train_loss,valid_auc,valid_acc,train_l_sup,train_l_ref,train_l_init,train_l_rate,train_l_rasch,train_l_gap,train_l_student
1,0.7982299449036446,0.7653065892769871,0.7281609195402299,0.611400981507045,0.029443907365202904,0.038873113429547496,0.15391645981445823,0.0004955786507447815,0.0,0.0
2,0.7440876329409892,0.7774444807387008,0.7368295019157088,0.5656890036618507,0.023787182569503785,0.03865165675586604,0.15336486183007753,0.0016133908830982234,1.9066423036357653e-05,1.906662335906211e-05
3,0.7309587368881864,0.7877038217773673,0.7460249042145594,0.5519889330902347,0.024710702683244434,0.03842773488430882,0.15281169651296642,0.0033113403378852778,7.440761349114057e-05,7.585820868761013e-05
4,0.7212604669215622,0.7946539078667174,0.7484674329501916,0.5405439976333148,0.02648878837270396,0.038204248234925464,0.15226931879774105,0.005842919953699623,0.0001693294254697061,0.00017248887743335218
5,0.7144260654949621,0.8003629640736925,0.7506704980842912,0.532351164264679,0.02797380904001849,0.03798222311151583,0.1517490510144317,0.009422252659818955,0.00030459187775185064,0.00030982903969873276
6,0.7091599778229839,0.8044126140296699,0.7511494252873563,0.5259941445006997,0.02925512721495969,0.03776205260916531,0.1512456756485205,0.014140967492546353,0.00047786709453378405,0.0004877719487662294
7,0.7046110343627052,0.8081667278350038,0.7533524904214559,0.5208295742320643,0.030182705819606782,0.03754334653277249,0.15075551580831426,0.020322697716099875,0.0006912581206831549,0.0007070951479753214
8,0.7015053601771635,0.8083522030222476,0.753927203065134,0.517164045590869,0.031062933110765047,0.037326284623085786,0.15027811354529816,0.027838797122240067,0.0009463788941502571,0.0009660930771912847
9,0.6995378981319572,0.810915074217061,0.753927203065134,0.5154216511082339,0.03136413310255323,0.0371109269960569,0.14981012887031425,0.03735850245824882,0.0012412599504127034,0.001265890646858939
10,0.6962667157593486,0.8122087610814812,0.7546455938697318,0.5120834608764173,0.03187463219676699,0.03689666495821685,0.14934964742482648,0.04898923326815877,0.0015774357565013426,0.0016085959738120436
11,0.6947631302345524,0.8130808254315105,0.7554597701149425,0.5106696193806213,0.032266944433961595,0.036683641689135134,0.14889480455870704,0.06264232812183244,0.0019505476878423776,0.0019932339167488475
12,0.6930260793035304,0.8144307478603597,0.7566570881226053,0.5091531334241609,0.03256019055843353,0.03647180906218344,0.1484452804255143,0.07819398827850818,0.0023627796526333052,0.0024153688257294043
13,0.6907231725866041,0.8148714659250123,0.757183908045977,0.507172186460896,0.03277612371104104,0.0362611889998844,0.14800020774330133,0.09564909253801618,0.002813985857314297,0.002878876595890948
14,0.6891064658166215,0.8166441108423459,0.7575191570881226,0.5055264912590639,0.03324561220194612,0.03605183378094935,0.14755810864561236,0.11636875825268882,0.003305518580600619,0.0033805862800883393
15,0.6876336138175038,0.8158651971873203,0.7575670498084291,0.5047057811164164,0.03321445190480777,0.035843825165344616,0.14711926106457412,0.13981266479407037,0.0038362224586308002,0.003924897975022239
16,0.6852854345333107,0.8164277141611428,0.7580459770114942,0.5026696499985035,0.03342982631708894,0.03563657616642,0.14668284537867976,0.166540108195373,0.004407661035656929,0.004509618492530925
17,0.6832387748733791,0.8163423708378155,0.7572318007662835,0.5011210919094258,0.03350775092840195,0.0354301564223517,0.14624733440632048,0.19715275381292616,0.0050200077904654404,0.005134897253343037
18,0.6821306321839384,0.8177435227267751,0.7584770114942528,0.5002298458221288,0.03378834437046732,0.03522508570554498,0.14581423002536548,0.2313137092760631,0.0056650024173515185,0.00579660621338657
19,0.6811803074416982,0.8177258400321266,0.7579501915708812,0.499636094970357,0.033964914349573,0.03502105981379403,0.1453824359639909,0.27063204986708506,0.006352474806564195,0.006495353885527168
20,0.6791577871299911,0.8182044118719138,0.7576149425287356,0.49785900459576116,0.03422089900289263,0.03481791584050579,0.14495208758988776,0.3142667402114187,0.007078535695161138,0.007238091089363609
