lambda,auc,corr,mse,im_corr,rt_corr,dir
0.0,0.7249147633646397,0.5089877243695192,0.0264609232544899,0.999764851508844,0.9996877633693919,20251219_145608_idkt_pareto_l0.0_578382
0.1,0.7217350898546153,0.660918463163275,0.016687607392668724,0.9997651847244394,0.9996825439184414,20251219_145608_idkt_pareto_l0.1_832921
0.25,0.7099777873439088,0.7801992397993962,0.010424906387925148,0.9997577977218228,0.9996858002728396,20251219_145608_idkt_pareto_l0.25_713982
0.5,0.6910923131985645,0.8610120780336938,0.006446821615099907,0.9998276972185188,0.9996441217335841,20251219_145608_idkt_pareto_l0.5_838655
0.75,0.6787219842168348,0.8889930983802505,0.004949476104229689,0.9998132084521391,0.9996171940185755,20251219_145608_idkt_pareto_l0.75_570141
1.0,0.6699695012046982,0.9080918774029874,0.004047287628054619,0.9998072226778918,0.9996091931196207,20251219_145608_idkt_pareto_l1.0_303124
