lambda,test_auc,valid_auc,exp_id,dir,probe_pearson,probe_selectivity,pred_corr,init_corr,rate_corr,h2_functional,h3_discriminant,h3_latent,raw_mean_corr,fidelity
0.0,0.8358255861448227,0.8438664455390495,230665,20251226_181543_idkt_assist2009_hr_sweep_l0.0_230665,0.7515715150118795,0.5776528448274134,0.5001607250629969,-0.13823258825531234,-0.0066653104862389855,0.18697926799999745,-0.0853801554038629,0.14473214642611368,0.11842094210714853,0.7515715150118795
0.1,0.8289954093707133,0.835543013313015,177339,20251226_181543_idkt_assist2009_hr_sweep_l0.1_177339,0.8204784423340998,0.6870650131266623,0.6202968151602793,0.5165564858996208,0.28638201119365714,0.21775984297429002,-0.2487723539310455,-0.054197486037354366,0.47441177075118574,0.8204784423340998
0.2,0.8096052991306667,0.816819166902024,162333,20251226_181543_idkt_assist2009_hr_sweep_l0.2_162333,0.8471565763925718,0.7295591135097815,0.7362768844637251,0.6027168633076699,0.35780849112060414,0.23531389906932215,-0.2923784090164983,-0.0909124910312345,0.565600746297333,0.8471565763925718
0.3,0.7916976378725145,0.7984536507412852,548303,20251226_181543_idkt_assist2009_hr_sweep_l0.3_548303,0.8759734266752358,0.7790754568758189,0.8033872053927945,0.6250147192661094,0.36997549034142446,0.24438777286235622,-0.31187760860151476,-0.07058281102062443,0.5994591383334428,0.8759734266752358
0.4,0.7775561378326923,0.7839808405832993,139325,20251226_181543_idkt_assist2009_hr_sweep_l0.4_139325,0.8869750379337624,0.8007492747514802,0.8253931159984351,0.4225785259026428,0.19561411146296312,0.22097096917550144,-0.24669290217116027,0.132800552848351,0.4811952511213469,0.8869750379337624
0.5,0.7685900899590641,0.7741708193139437,594626,20251226_181543_idkt_assist2009_hr_sweep_l0.5_594626,0.876204052416533,0.7846805166658337,0.8270557061019082,0.24560796792100967,0.10659098920133173,0.20765993342140732,-0.19498183717909626,0.2018926912252299,0.39308488774141653,0.876204052416533
0.6,0.7614571454242383,0.7669301154657442,168106,20251226_181543_idkt_assist2009_hr_sweep_l0.6_168106,0.8827573670701531,0.7953832777050283,0.839885622121753,0.24601368611825847,0.1028337554005749,0.20779304749486183,-0.19683582563345225,0.2123393519454647,0.39624435454686213,0.8827573670701531
0.7,0.7551197152851385,0.7603849893285319,845101,20251226_181543_idkt_assist2009_hr_sweep_l0.7_845101,0.8872536565113379,0.8026629320560879,0.8497178438514341,0.24624909409211376,0.10032812629782656,0.20789578805968212,-0.19788840584710435,0.21699172626786273,0.3987650214137915,0.8872536565113379
0.8,0.7505059009905176,0.7546770396353482,510959,20251226_181543_idkt_assist2009_hr_sweep_l0.8_510959,0.8112868287225817,0.6730702853414049,0.775497170927017,-0.05716515533220473,0.013237804169339031,0.1911458627468504,-0.10864603714887071,0.19526049421416178,0.24385660658805045,0.8112868287225817
1.0,0.745601088279176,0.7485929881910045,517932,20251226_181543_idkt_assist2009_hr_sweep_l1.0_517932,0.7910834428639297,0.6416137456089684,0.7525831405419752,-0.08324585859046993,0.006826958654910512,0.1898292973694631,-0.10138180607364572,0.19530596388893515,0.2253880802021386,0.7910834428639297
