epoch,lambda_interp,train_loss,train_auc,train_acc,val_loss,val_auc,val_acc,val_l_bce,val_l_stability,val_l_align_total,val_l_21_performance,val_l_22_difficulty,val_l_23_ability,val_theta_mean,val_theta_std,val_beta_mean,val_beta_std,val_mastery_mean,val_mastery_std
1,0.01,0.1551550807421689,0.6136944319400368,0.718886980354612,0.13922287447720158,0.6860625199607544,0.7437541971211399,0.09063574124355706,0.0003687655089936238,4.948980146524858,4.70875257375289,0.0003687655089936238,0.24022757794175828,-0.14469686150550842,0.06215181201696396,-5.207518577575684,3.8309967517852783,0.8723430633544922,0.2319680005311966
2,0.02,0.18734186771928954,0.6900884485895286,0.742713935741841,0.1853408071459556,0.7031233487958322,0.747608249228703,0.0886209027803674,0.002018540522691851,4.923606814170371,4.704968666543766,0.002018540522691851,0.21863814276091906,-0.1863589584827423,0.1032804474234581,-5.1884894371032715,3.8289639949798584,0.8674567341804504,0.23632869124412537
3,0.03,0.2317067963008436,0.7054925959460449,0.7461516439989112,0.23208192659884083,0.7124385586348781,0.7501678848455946,0.08765624113837067,0.0051881240832866455,4.900116453365404,4.689149885761495,0.0051881240832866455,0.210966558176644,-0.185689777135849,0.12515789270401,-5.168763637542725,3.8274941444396973,0.8653146624565125,0.23783300817012787
4,0.04,0.2761783781292525,0.7155056457518251,0.7486953134532894,0.2787684992868073,0.7187286591140023,0.7519294591674858,0.08706656250418449,0.009894287441762127,4.877141602185308,4.6582187438497735,0.009894287441762127,0.21892283735226611,-0.17745235562324524,0.1350795477628708,-5.148654937744141,3.82633638381958,0.864136278629303,0.2384164035320282
5,0.05,0.32033038679799886,0.7241462823666788,0.7515839270126432,0.3251648277652507,0.722305484919368,0.7538954150405357,0.08666512993525485,0.01610111095467392,4.853438795829306,4.631335871560233,0.01610111095467392,0.222102909672017,-0.1746297925710678,0.13947263360023499,-5.128329753875732,3.8253560066223145,0.862894594669342,0.2392328977584839
6,0.06,0.3644012220474105,0.7291024336722484,0.7529824759008438,0.37122446906809903,0.723462284911226,0.7536423712152917,0.08639148394672239,0.023758166108508498,4.829648329287159,4.606237430961764,0.023758166108508498,0.2234109120101345,-0.16880527138710022,0.13894058763980865,-5.107896327972412,3.824467658996582,0.8619495630264282,0.2399922013282776
7,0.07,0.408021714712054,0.7338023826586308,0.7546086409671575,0.41698275354443765,0.7237467018157715,0.7546058842421824,0.08630994859398627,0.032807166783177126,4.805520378813451,4.581631446371273,0.032807166783177126,0.22388889534132822,-0.17551547288894653,0.13869957625865936,-5.087421894073486,3.8236186504364014,0.8603287935256958,0.24150113761425018
8,0.08,0.45125271356785235,0.7380856245661738,0.7564506894188983,0.4625131919675944,0.7227995214872113,0.754557221968097,0.08642148849915485,0.043194500691428474,4.782168553799999,4.556465586837457,0.043194500691428474,0.22570299554844292,-0.1752881407737732,0.14088831841945648,-5.066952228546143,3.8227779865264893,0.8590000867843628,0.24268236756324768
9,0.09,0.4941185325229724,0.7416898453155247,0.7578445451900243,0.5075367342452614,0.722705214781424,0.7535061168478525,0.08648638366436472,0.0548646730579892,4.758727316953698,4.53253005475414,0.0548646730579892,0.2261972895690373,-0.17885461449623108,0.14169512689113617,-5.046515464782715,3.8219287395477295,0.8574395179748535,0.2442346215248108
10,0.1,0.5365288053769521,0.7453154997499732,0.7592313612855386,0.5521775252965032,0.7215826596153089,0.7536034413960233,0.08658622220462682,0.06776894461743686,4.7357222790620765,4.509332939070099,0.06776894461743686,0.22638930441165456,-0.17523634433746338,0.14006182551383972,-5.026132583618164,3.8210580348968506,0.8564878702163696,0.24509181082248688
11,0.11,0.5785502192269952,0.7486426263192509,0.7609725077201775,0.5964047276243871,0.7208697145352214,0.7525231389113276,0.08669039637458567,0.08185973094434154,4.713015283857073,4.486516777349978,0.08185973094434154,0.22649848096224726,-0.17652644217014313,0.14105714857578278,-5.005819320678711,3.820157527923584,0.8551234602928162,0.24639983475208282
12,0.12,0.6201844342014332,0.7521120675551225,0.762209144069308,0.6401758035834955,0.7197115933706708,0.7521533056282786,0.08674415276975048,0.09709983866433708,4.6905830928257535,4.463926169337059,0.09709983866433708,0.22665690341774297,-0.17369163036346436,0.14033997058868408,-4.9855875968933105,3.819218397140503,0.8540871739387512,0.24733726680278778
13,0.13,0.6614339984760383,0.7549519906206573,0.7635771876965243,0.6836043547610847,0.7188510675865989,0.7516082881585222,0.08690493827571674,0.11344882876289133,4.668173741321175,4.443409978126993,0.11344882876289133,0.22476374646838831,-0.17272435128688812,0.14020143449306488,-4.965445041656494,3.81823468208313,0.8529428839683533,0.2483867108821869
14,0.14,0.7022366974637916,0.7582947463132469,0.7650977576286618,0.7267937976486829,0.7173371305274925,0.7496520647402894,0.08722419170092563,0.13087567991139937,4.6462302402574185,4.421497860733344,0.13087567991139937,0.2247323801322859,-0.17116382718086243,0.13936340808868408,-4.94539737701416,3.8172030448913574,0.8518108129501343,0.2494935393333435
15,0.15,0.7426785978010899,0.7614128146470154,0.7665831291827406,0.7695126107760838,0.7154116898000213,0.7486301569844962,0.08747013643079875,0.14934680169942427,4.624463334375498,4.400643134603695,0.14934680169942427,0.22382022683717767,-0.1697532683610916,0.13962998986244202,-4.925447463989258,3.816122055053711,0.8506889343261719,0.2505263090133667
16,0.16,0.7827783183730328,0.7639399672944236,0.76782915176602,0.81183324176438,0.7146439911758078,0.7473065431293735,0.08774429879018239,0.16883863326238127,4.602747887981181,4.379429895050672,0.16883863326238127,0.22331799262640428,-0.17226558923721313,0.13909614086151123,-4.905595302581787,3.814990758895874,0.8493521809577942,0.2518274784088135
17,0.17,0.822395630451064,0.7671669546017532,0.7693215629957105,0.8537459738400518,0.7133333255501385,0.7457104205393726,0.08796193967668378,0.18932025651542508,4.581437354185144,4.35983453478132,0.18932025651542508,0.22160284342814465,-0.16833917796611786,0.13861292600631714,-4.885843753814697,3.8138110637664795,0.8484073877334595,0.25267982482910156
18,0.18,0.8617887404298535,0.7694407257325869,0.7699527872422306,0.8956281664420147,0.7104648581585893,0.7424111183563831,0.08865338016529473,0.21077463851899517,4.560136765849833,4.341480313515176,0.21077463851899517,0.21865641280096404,-0.166798397898674,0.1384647786617279,-4.8661885261535645,3.812584400177002,0.84732985496521,0.2536489963531494
19,0.19,0.9006850123405457,0.7723727858005711,0.7720717296013666,0.9367934745185229,0.7093270917726502,0.7432383770158347,0.08889892073918362,0.23318013761724746,4.539229247034813,4.320699983713578,0.23318013761724746,0.21852927822239546,-0.16638974845409393,0.13857431709766388,-4.846628665924072,3.8113138675689697,0.8461369872093201,0.2547735869884491
20,0.2,0.939250004106235,0.77523093057381,0.7728484404771961,0.9776549521757631,0.7087608096692067,0.7416811842451021,0.08927415463389182,0.2565229820961855,4.518351905199946,4.300983681970713,0.2565229820961855,0.21736820072543864,-0.16541770100593567,0.137811541557312,-4.827162742614746,3.810000419616699,0.8450750708580017,0.2557165324687958
21,0.21,0.9774287624062652,0.7778934463354042,0.774758539126517,1.018276005375142,0.706794340175003,0.7411264343205287,0.08983833479638002,0.28078180490707866,4.497599650402458,4.281799238555285,0.28078180490707866,0.21580041093485697,-0.16623568534851074,0.13708584010601044,-4.8077850341796875,3.808647394180298,0.8438762426376343,0.2568392753601074
22,0.22,1.0151861628102514,0.7814425432246721,0.776480913092858,1.058156974461614,0.705436284991255,0.7407176712182114,0.0899249366959747,0.30594608795886136,4.477073017431765,4.261777478821424,0.30594608795886136,0.2152955456047642,-0.16632035374641418,0.13668639957904816,-4.788496017456055,3.8072593212127686,0.8427157998085022,0.2578887343406677
23,0.23,1.0527283373274334,0.7832605300790316,0.7775884887224397,1.0981882542979962,0.7040618262317913,0.739179943357113,0.09067503043583461,0.3320040508192413,4.456732341221401,4.242777989835155,0.3320040508192413,0.21395438088446248,-0.16562947630882263,0.13644050061702728,-4.769291400909424,3.8058345317840576,0.8415946960449219,0.25892403721809387
24,0.24,1.0898537561683457,0.7858163377892972,0.7788978683862248,1.1374488387789046,0.7034116373471992,0.7417006491547363,0.09090610091783563,0.3589421334315319,4.436545031411307,4.223022665296282,0.3589421334315319,0.2135223490851266,-0.16563937067985535,0.13646051287651062,-4.750167369842529,3.8043782711029053,0.8404191136360168,0.2599684000015259
25,0.25,1.1266677478434508,0.7877981746420781,0.7802119411670844,1.1767251588860337,0.701995600810203,0.7396568336431498,0.09160992533576731,0.3867473273861165,4.416600937746009,4.20294391865633,0.3867473273861165,0.21365703125389254,-0.1651410162448883,0.13684631884098053,-4.7311224937438965,3.8028905391693115,0.8392907381057739,0.26096948981285095
