epoch,train_loss,valid_auc,valid_acc,l_sup,l_ref,l_initmastery,l_rate
1,0.8664525196724299,0.7480546616467499,0.7302981542830099,0.588498050134041,0.020849675677406292,0.01614579680342404,0.030914283879760477
2,0.7318528561023023,0.7544024286831748,0.7296734500709892,0.5607664677755894,0.014129980835908404,0.0044745500935587735,0.00446718115880845
3,0.7058720178307644,0.7541147749549671,0.7330430667297682,0.5585228941311805,0.012475594800586501,0.001903002539009366,0.002670452381877821
4,0.6883536365632875,0.7555164493289592,0.73239943208708,0.5578010511459045,0.011153304871792594,0.0011245539865887674,0.001726631961306039
5,0.6789155897813467,0.7553562081591714,0.7332702318977756,0.556852380597404,0.010475053675084686,0.0008247509203971271,0.001183908091849734
6,0.6724142079372383,0.7545837077569975,0.7330809275911027,0.5563019517608626,0.00998966438540568,0.0006644769110327959,0.0008876891391625962
7,0.668017755781036,0.7553399863885801,0.7306578324656886,0.5558914134604054,0.009663645372105142,0.0005589444128949516,0.0007061553169058448
8,0.663625696640587,0.7549638641633405,0.7299574065309986,0.5558288772390286,0.009301856295981755,0.00048088735491891337,0.0005803818520747736
9,0.6594814048840765,0.7545164149703041,0.7298059630856601,0.5553827793664673,0.008990375101954365,0.0004276648111885426,0.0004895130800828476
10,0.6565735842455066,0.7547424165206897,0.7291055371509702,0.5554684209899288,0.008738038566661999,0.00038359311256574237,0.00042454720979581803
11,0.6537464816595039,0.7548946444507912,0.7298438239469948,0.5550153304693738,0.008537513524061069,0.0003523135523284637,0.0003705912839309786
12,0.6506140425314509,0.7545294561714091,0.728518693800284,0.5553382052404083,0.008241492595213154,0.00032454409608950215,0.0003383104867528835
13,0.6474788482985879,0.7544943817110252,0.7271935636535731,0.554722970949181,0.00802598642379356,0.0003030593813953799,0.0003087851999004086
14,0.6454782896882202,0.7546280231143663,0.7266067203028869,0.5545589838518471,0.007869589967109883,0.0002830952013683417,0.0002844089584419733
