epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,0.85,0.683713294373123,0.683979672492127,0.5388437446347372,0.7427128244557125,0.742284596443761,0.7258075504384471,0.09259635894274225,0.09054478440357715,0.10422192301068987
2,0.85,0.7017388812419,0.7028337072986037,0.5836282102606044,0.7471216264878491,0.7459245345453484,0.7274426028477162,0.09063552152745578,0.08869294639752835,0.10164342622975914
3,0.85,0.7100337428096765,0.7120787479416835,0.5969456386352984,0.7490194551771794,0.7491751744542526,0.7310338786752183,0.08930848386822915,0.08763881499061779,0.09876992386214588
4,0.85,0.7156775388588194,0.7177563168988071,0.6063701279780381,0.7506350426768144,0.7502944067582166,0.7335448520180246,0.08862057753971644,0.08703539931044287,0.09760323546978893
5,0.85,0.7191487410453297,0.7210385968089857,0.6165620967347571,0.7516374855229735,0.75194892407712,0.734469435225647,0.08812335163963084,0.08661931692337503,0.09664619333890019
6,0.85,0.721251288371206,0.7231655375541589,0.6247889908147513,0.7520657135349249,0.7528443099202912,0.7315594312353405,0.08785098243732842,0.08638517604190477,0.09615719820163687
7,0.85,0.7228453098253658,0.7241675315249317,0.6327045822244313,0.7530292265618157,0.7533795949352305,0.7341579966715005,0.08756686002016068,0.08625685560459993,0.09499019825336885
8,0.85,0.7239323512094156,0.7249611193704109,0.6370881066177101,0.7533406651159622,0.7541581913205968,0.7367857594721117,0.087427341208166,0.08619812039696441,0.09439290619018126
9,0.85,0.724481602648091,0.7253008501598492,0.6402225454809636,0.7538564852212674,0.7541192615013285,0.7370582682069898,0.08734490129412437,0.0861439037383819,0.09415053758694202
10,0.85,0.7242621978340246,0.7249238770294428,0.6419332808677036,0.7536326387604746,0.7544209676006579,0.7364256586438798,0.08739473503463123,0.08624115662307155,0.09393166218485151
11,0.85,0.7238711755443388,0.7245169149537837,0.6438652907593956,0.7537007659441941,0.753437989664133,0.7356081324392452,0.0874298593523551,0.08633069557194807,0.0936584393588864
12,0.85,0.7234327930067067,0.7238104171176178,0.6448751792542429,0.7534282572093159,0.753807822947182,0.7365424481016847,0.08754856990916389,0.08646726851560632,0.09367592191817808
