epoch,train_loss,valid_auc,valid_acc,train_l_sup,train_l_ref,train_l_init,train_l_rate,train_l_rasch,train_l_gap,train_l_student
1,0.5516808184835645,0.7071658404386636,0.7485328324363254,0.5378750473979559,0.014112561801207188,2.359200510659992e-07,7.799600663428519e-08,0.0,0.0,0.0
2,0.5364487956130143,0.7168996393627118,0.7518613319837663,0.5237775990098885,0.012976299604603664,5.132465180163432e-08,7.17443141571228e-09,0.0,4.927031003024551e-05,4.1498677026048554e-05
3,0.5330108978569039,0.7201352962117206,0.7534087922996817,0.519973845067103,0.013354862543122138,1.8482441670211747e-08,3.633634807073295e-09,0.0,0.00020796434651913092,0.00019702578746560488
4,0.5310246486695341,0.723191323574202,0.7541581913205968,0.5176623298338292,0.013689145658145914,9.560794915703062e-09,2.404341189403946e-09,0.0,0.0006453662470147168,0.0006119640167969052
5,0.5298058694491691,0.7250870568814746,0.7547713359740728,0.5163833360632004,0.013751224827002058,6.209302110928247e-09,1.8244268917457079e-09,0.0,0.00149750564225655,0.0013751349471620444
6,0.5286652658312815,0.7258888764407032,0.7550925069830363,0.5151366658368856,0.01386009128233466,4.425588271398697e-09,1.458815757400684e-09,0.0,0.0027866940390453747,0.002474365654580025
7,0.5278038173185624,0.7266979922524799,0.7555791297238903,0.5142305144545612,0.01390596627320496,3.655495629404145e-09,1.1903773367136645e-09,0.0,0.004491866890756037,0.003870289108035555
8,0.5271932174603534,0.7273206406962441,0.7552676911697438,0.5134989873449295,0.014029877207246778,3.332815869609995e-09,9.961876037634785e-10,0.0,0.006563482574462273,0.005532731271923129
9,0.526591635892449,0.728272364834243,0.7560754849195612,0.5128545090903359,0.014073771998826704,3.537922746917871e-09,8.905789926080829e-10,0.0,0.008999584211335744,0.007478010929985831
10,0.5256909466084541,0.7281412194791436,0.7556764542720611,0.5118398070218404,0.014190486197992002,4.08109825935797e-09,8.040484748751686e-10,0.0,0.01176642315761413,0.009683767806526293
11,0.5250584625193145,0.728621343339921,0.7554428753564512,0.5111577698669906,0.014241092746662352,5.171838490371664e-09,7.473340181087461e-10,0.0,0.014850034489455618,0.012180900741658063
12,0.5243625135957177,0.7290334238513967,0.7556569893624269,0.5103788363967596,0.014325895008915755,6.7357992495056e-09,7.088671121853652e-10,0.0,0.018246192885611034,0.014975723096319123
13,0.5238739391205741,0.7290824232500266,0.756036555100293,0.5098481338310545,0.014368774740922945,8.839480454788347e-09,6.851600810678885e-10,0.0,0.021968759403327588,0.018044068743450655
14,0.5229592753661012,0.7291873205194656,0.7561436121032808,0.5088523741269497,0.01445151581742603,1.1510399510809077e-08,6.621609946876332e-10,0.0,0.025955856328955584,0.021334492799299987
15,0.5225515993410738,0.7294056923360914,0.7561046822840125,0.5084547014564933,0.01444085632388147,1.4737528367755578e-08,6.603824101324755e-10,0.0,0.030235514701030416,0.024873828621571545
16,0.5220860142946594,0.7296660727153055,0.7563771910188907,0.5078571741543174,0.014575557624004356,1.8589672581123055e-08,6.636099018074441e-10,0.0,0.03479417281254277,0.028643770432920036
17,0.5211643649731513,0.72988137066258,0.755929498097305,0.506841393073296,0.014671450765523578,2.3056763561728795e-08,6.807738264223667e-10,0.0,0.039622547809478534,0.03262763402854223
18,0.5207280254042438,0.7299341109208021,0.7563382611996223,0.5062550505941266,0.014824514446172072,2.8160868962532948e-08,7.08552218621801e-10,0.0,0.04470147225291618,0.03693951120107903
19,0.5200590254050635,0.7302372629112623,0.7562117392870004,0.5055186855113034,0.014892837881964723,3.39314581579042e-08,7.334291390238659e-10,0.0,0.05007859456492829,0.04149757420229171
20,0.5191826516349624,0.7297494302393503,0.7564939804766956,0.5045038986023894,0.015033882994378477,4.032528977246761e-08,7.687478114487109e-10,0.0,0.055723111536064296,0.046351290119744336
21,0.5184896419989226,0.7296752280676824,0.7562798664707199,0.5037368596677257,0.015108890228282294,4.7359764847978864e-08,8.2188820611055e-10,0.0,0.061640311206251845,0.051509182842284285
22,0.5178910550019025,0.7296565092378074,0.7566691646634031,0.5030555803172397,0.01519270704509063,5.4978305348195835e-08,8.784232159129395e-10,0.0,0.06777623066089931,0.05702191919397196
23,0.5168557749351272,0.7294682019816497,0.7568346163952934,0.5018274732766627,0.015389289885489125,6.325884894676111e-08,9.34475923136657e-10,0.0,0.07416417746963896,0.06275781958214359
24,0.5157027905824163,0.7290287876780952,0.7570487304012691,0.5004154026913932,0.01565370014796294,7.204441485569713e-08,9.984094475673755e-10,0.0,0.08076374765504828,0.06887906332321735
25,0.5145306585807806,0.7270821685326605,0.7568151514856593,0.4990486410262015,0.015852003855331573,8.144059445474421e-08,1.0561066511568416e-09,0.0,0.08755819179079076,0.0753389219198511
26,0.5133535099079563,0.72498584505331,0.7566788971182201,0.49762131212143285,0.016107174635435324,9.125765857232134e-08,1.1259715989584875e-09,0.0,0.09451401639015564,0.08192727151157943
27,0.5119331312905884,0.722322865335296,0.7569416733982812,0.4959818982456964,0.016330408004783286,1.0135577822914976e-07,1.203657187206175e-09,0.0,0.1015498118928677,0.08826870467378685
28,0.5107324777886485,0.7202337679119577,0.7572920417716961,0.4944393424680106,0.016679517944087636,1.1155019374524679e-07,1.2722347083725089e-09,0.0,0.1086099351625986,0.09439330652278939
29,0.5101169710536627,0.7159566833877771,0.7563674585640736,0.49372250498745246,0.01678215719547142,1.2170542606480729e-07,1.3698392032779787e-09,0.0,0.11561905723933728,0.09996125414735912
