epoch,lambda,val_total_auc,val_bce_auc,val_mastery_auc,val_total_acc,val_bce_acc,val_mastery_acc,val_total_loss,val_bce_loss,val_mastery_loss
1,0.1,0.6655974707198058,0.6726896779481958,0.5165282213644649,0.7299146463712542,0.7419536929799804,0.25975921906782545,0.19306177204968977,0.09191618707715249,0.20430017551597285
2,0.1,0.6798996089540652,0.6923792786210894,0.48933427383883343,0.7278902957693019,0.7449804864280918,0.7268975853779599,0.1359651485572056,0.08975721105020873,0.14109936782291957
3,0.1,0.6828478577871979,0.6998498427137014,0.5073299734857586,0.7270533046550332,0.7467225958403488,0.724191962938812,0.11223276233186527,0.08911379168228227,0.11480154066669698
4,0.1,0.6913514725220882,0.7053554749856961,0.5110632619504516,0.7309365541270475,0.7476958413220567,0.7303331419283886,0.10410642958417231,0.08836655926947691,0.10585530740874154
5,0.1,0.693572503964762,0.7076197026670806,0.517674441876335,0.7303039445639373,0.7485328324363254,0.729642137636376,0.10200806737554316,0.08812006486921894,0.10355118114729317
6,0.1,0.6757857370402995,0.7091050845143876,0.5393444084944586,0.73272732581339,0.7482213938821789,0.7316664882383284,0.10046812800728545,0.08873140948767565,0.10177221149206161
7,0.1,0.6711125699182742,0.7069776033790415,0.5198880452940167,0.7311604005878403,0.7486788192585816,0.7301871551061324,0.1002845148346862,0.08801540306636266,0.10164775197603265
8,0.1,0.6448602660618159,0.7114403190703973,0.5514375745582651,0.7301871551061324,0.7492141042735209,0.7297102648200956,0.10073668129590092,0.08766874199619099,0.10218867796416185
9,0.1,0.6470501312278668,0.710659251331238,0.5819032092136909,0.7335740493824757,0.7461775783705924,0.7332626108283292,0.09893578762302593,0.08828169989342592,0.10011957768274814
10,0.1,0.6291391890948416,0.7139059933215952,0.5841257711871457,0.7328149179067436,0.7501289550263263,0.7319779267924749,0.09956423010753125,0.08748773698295866,0.10090606553213936
11,0.1,0.6345201572455601,0.7138395103058146,0.5948428610155244,0.7357735841711355,0.75021654711968,0.7348684658731471,0.09840195428351967,0.08759602995551362,0.0996026159549246
